ja,en
あう……ぜんぜん……ダメだった……\r\n次はできるように、するね……,"Ah... So... it's impossible...
Let's do it next time, okay..."
甜花……もっといい動きが、できるようになれば……\r\nみんなにも……迷惑、かけない……,"If... Tenka moves better than before...
Tenka won't... trouble everyone..."
今週はダンスレッスンが……いいな……,It'll be great if... we can do dance lesson this week...
うん……甜花、ダンス……\r\nうまくなった……たぶん……,Um... Tenka's dancing... is getting better... maybe...
プロデューサーさんの、おかげ……ありがとう……,It's thanks to Producer-san... Thank you...
今日……ダンスレッスンじゃ……なかったっけ……,Isn't today... time for dance lesson... right...
甜花……踊る準備、してたんだけど……\r\n次はちゃんと……入れておいてね……,"Tenka... already prepared herself to dance...
Next time... Don't forget, okay..."
塗る？　付ける？　プロデューサーさん……\r\nメイクって、どうやるんだろう……,"Gloss? Put on? Producer-san...
How do you properly do makeup..."
知らないと……ダメだよね……\r\n今週に……ビジュアルレッスン……させて……,"It'll be bad... if you don't know, right...
This week... Visual lesson... Please..."
これは……付けるものなんだ……\r\nこれで……甜花も、なーちゃんみたいに……,"So this is... something to put on...
With this... Tenka's a bit more like Naa-chan..."
プロデューサーさん……約束守ってくれて……\r\nありがとう……,"Producer-san... Thank you for keeping...
your promise..."
ビジュアルレッスン……無くなっちゃったんだ……,Visual lesson... is cancelled...
メイクができなくて……また迷惑かけちゃう……\r\nプロデューサーさん……次はきっと、ね……,"If Tenka can't do makeup... she'll trouble everyone
again... Producer-san... next time, okay..."
プロデューサーさん……えっと……\r\n甜花……お昼寝をいっぱいしたくて……,"Producer-san... Umm...
Tenka... wants to take more naps..."
お休みが欲しいんだけど……\r\n今週って……ダメかな……？,"Tenka wants to take a rest... for this week...
is that okay...?"
お休みで……いっぱい、お昼寝した……\r\n充電、完了……！,"After resting... with a lot of naps...
Energy recharge, is complete...!"
甜花……また頑張る、ね……,"Tenka... will do her best again, okay..."
え……お休み、ないんだ……\r\nお昼寝の道具……準備してたのに……,"Eh... There's no rest time...
Even though... the napping preparations are
complete..."
お休み……忘れないでほしい、です……,"Please... don't forget about Tenka's rest, next time..."
だから、一週間後……歌のレッスン……したい……,"So, for next week... Let's do a vocal lesson... Please..."
一週間後はダンスレッスンが……いいな……,It'll be great if... we can do dance lesson next week...
知らないと……ダメだよね……\r\n一週間後に……ビジュアルレッスン……させて……,"It'll be bad... if you don't know, right...
Next week... Visual lesson... Please..."
お休みが欲しいんだけど……\r\n一週間後って……ダメかな……？,"Tenka wants to take a rest...
For next week... is it okay...?"
だから、二週間後……歌のレッスン……したい……,"So, two weeks from now...
Let's do a vocal lesson... Please..."
二週間後はダンスレッスンが……いいな……,"It'll be great if... we could do a dance lesson two
weeks from now..."
知らないと……ダメだよね……\r\n二週間後に……ビジュアルレッスン……させて……,"It'll be bad... if you don't know, right...
Two weeks from now... Visual lesson... Please..."
お休みが欲しいんだけど……\r\n二週間後って……ダメかな……？,"Tenka wants to take a rest...
Two weeks from now...is that okay...?"
あーあーあーあーあー♪\r\n声……出てます？,"Ah-ah-ah-ah-ah～♪
Do I... have the right pitch?"
私、もうちょっと練習したくて……\r\n今週にボーカルレッスンを入れていただけませんか？,"I would like to practice a bit more...
Could you schedule a vocal lesson for this week?"
わぁ、ありがとうございます♪\r\nプロデューサーさん,"Yay, thank you very much, Producer-san♪"
まあ、そうなんですね……、いえ\r\n私が急に言い出したことですから、お気になさらず,"Oh, is that so... No, don't worry about it.
It was a sudden request after all."
あーあーあーあーあー♪\r\nうん、ばっちりです～,"Ah-ah-ah-ah-ah～♪
Nice, that was perfect～"
プロデューサーさん、レッスンを入れてくださって\r\nありがとうございました♪,"Producer-san, thank you for scheduling the lesson."
あら？　今日はボーカルレッスンの日……？,"Oh my, didn't I have a vocal lesson today...?"
ふふ、プロデューサーさんだって忘れることもありますよね\r\nじゃあ、河原で歌ってきましょう♪,"Fufu, sometimes even you forget things.
Well then, I'll just go to the riverside and practice♪"
あら、せっかくプロデューサーさんに\r\nスケジュール合わせてもらったのに……,"Oh, you scheduled a lesson for me, but..."
ごめんなさい、プロデューサーさん\r\n私、今度はもっと頑張りますね？,"Sorry, Producer-san. I'll do better next time!"
えいっ、……きゃっ！\r\nなかなか、身体が上手く動かないんです……,"Hup ...kya!
I can't move my body as well as I want to..."
私が足を引っ張るわけにはいかないですから\r\n今週にダンスレッスンをさせてもらえませんか？,"I cannot drag others down like this.
Could I have a dance lesson this week?"
ふうっ……あ、プロデューサーさん！\r\nレッスン、すごく調子いいんですよ,"Phew... Oh, Producer-san!
The lesson went really well!"
プロデューサーさんが、\r\nスケジュール調整してくれたおかげですね,And it's all because you scheduled it for me.
あらら、今日はダンスレッスンがないんですか？,"My my, so we aren't having a dance lesson today?"
……いえ、気にしないでください、プロデューサーさん\r\nかわりに他のお稽古ができますし……ね？,"...No, don't worry about it, Producer-san.
I can work on other things today instead, right?"
きれいなお化粧って、\r\nすごく繊細な技術に支えられているんですよね,Pretty makeup is supported by very fine techniques.
私、とっても興味があって……ビジュアルレッスンを\r\nしてみたいんですが、今週にどうでしょうか？,"I'm very interested in that...
Is it possible to have a visual lesson this week?"
ふふ、お化粧ってとっても奥深いんですね,"Fufu, makeup has a profound depth to it."
これで少しは綺麗になれちゃうかも……なんて,I can be a bit prettier... maybe.
プロデューサーさん、\r\n今日何かお約束してませんでした？,"Producer-san, didn't we have plans for today?"
ふふ……思い出してくれました？\r\nじゃあ、もう忘れないように指切りしましょう,"Fufu... Do you remember now?
Then let's pinky swear so that you don't forget
again."
お休みなんて、言い出せる立場ではないんですけど……,I know I shouldn't be asking for such things...
もし、スケジュールに余裕があれば、\r\n今週に休ませていただいてもいいですか？,"But if the schedule allows it, could I take a break
this week?"
久しぶりに雑貨屋巡りができました～\r\nプロデューサーさんのおかげです,"I had a great time looking around in the sundry shop～
It's all thanks to you, Producer-san."
いろんな材料も仕入れたんですよ\r\n次の衣装にも使っちゃおうかな♪,"I bought a lot of materials, too.
Maybe I could use it for my next costume♪"
私、もうちょっと練習したくて……\r\n一週間後にボーカルレッスンを入れていただけませんか？,"I want to practice a bit more...
Could you schedule a vocal lesson next week?"
私が足を引っ張るわけにはいかないですから\r\n一週間後にダンスレッスンをさせてもらえませんか？,"I cannot drag others down like this.
Could I have a dance lesson next week?"
私、とっても興味があって……ビジュアルレッスンを\r\nしてみたいんですが、一週間後にどうでしょうか？,"I'm very interested in that...
Is it possible to have a visual lesson next week?"
もし、スケジュールに余裕があれば、\r\n一週間後に休ませていただいてもいいですか？,"But if the schedule allows it, could I take a break
next week?"
私、もうちょっと練習したくて……\r\n二週間後にボーカルレッスンを入れていただけませんか？,"I want to practice a bit more...
Could you schedule a vocal lesson in two weeks?"
私が足を引っ張るわけにはいかないですから\r\n二週間後にダンスレッスンをさせてもらえませんか？,"I cannot drag others down like this.
Could I have a dance lesson in two weeks?"
私、とっても興味があって……ビジュアルレッスンを\r\nしてみたいんですが、二週間後にどうでしょうか？,"I'm very interested in that...
Is it possible to have a visual lesson in two weeks?"
もし、スケジュールに余裕があれば、\r\n二週間後に休ませていただいてもいいですか？,"But if the schedule allows it, could I take a break
in two weeks?"
いえ、勝手なことを言ってごめんなさい……,"It's nothing, sorry for saying such a selfish thing..."
ちょっと残念ですけど、\r\nまた余裕のある時にお休み取らせてください♪,"It's a bit unfortunate but...
I'll take a break when it's more convenient♪"
むんっ！,Mun!
プロデューサー、二週間後ダンスレッスンしたいんだけど,"Producer, is it cool to have a dance lesson two weeks
from now?"
ん、オッケー,"Yeah, okay."
ありがとうございますっ,Thank you very much!
むんっ,Mun!
ミッションを進めて『W.I.N.G.』優勝を目指しましょう〜,"Let's progress these
missions and aim for a
W.I.N.G. victory～"
サポートアイドルを育てよう①,Raise Support Idols①
サポートアイドルを育てよう②,Raise Support Idols②
W.I.N.G.優勝を目指そう,Aim for W.I.N.G. Victory
W.I.N.G.攻略ミッションをすべて達成すると編成強化の役に立つガシャチケットを10枚獲得！,"Completing all of the W.I.N.G. Walkthrough missions
will reward you with a 10x Gacha Ticket to
strengthen your units!"
いいよ,Sure.
ごめん,Sorry.
歌いたいっす！　プロデューサーさん！,歌いたいっす！　プロデューサーさん！
今週、ボーカルレッスン、お願いしたいっす！,今週、ボーカルレッスン、お願いしたいっす！
やったっす～！　今からワクワクっす～♪,やったっす～！　今からワクワクっす～♪
"え～！　つまんないっす～！
む～……","え～！　つまんないっす～！
む～……"
"昨日テレビ見てたんすよ！
そしたらやってたんすよ！　すごいダンス！","昨日テレビ見てたんすよ！
そしたらやってたんすよ！　すごいダンス！"
ダンスレッスン、今週やっていいっすか？,ダンスレッスン、今週やっていいっすか？
『可愛い』って何なのか、もっと知りたいっす！,『可愛い』って何なのか、もっと知りたいっす！
今週、ビジュアルレッスンしたいっす！,今週、ビジュアルレッスンしたいっす！
"研究！　したいっす！
どうしても気になることがあるんす！","研究！　したいっす！
どうしても気になることがあるんす！"
今週、休めたりするっすか？,今週、休めたりするっすか？
一週間後、ボーカルレッスン、お願いしたいっす！,一週間後、ボーカルレッスン、お願いしたいっす！
ダンスレッスン、一週間後にやっていいっすか？,ダンスレッスン、一週間後にやっていいっすか？
一週間後、ビジュアルレッスンしたいっす！,一週間後、ビジュアルレッスンしたいっす！
一週間後、休めたりするっすか？,一週間後、休めたりするっすか？
二週間後、ボーカルレッスン、お願いしたいっす！,二週間後、ボーカルレッスン、お願いしたいっす！
ダンスレッスン、二週間後にやっていいっすか？,ダンスレッスン、二週間後にやっていいっすか？
二週間後、ビジュアルレッスンしたいっす！,二週間後、ビジュアルレッスンしたいっす！
二週間後、休めたりするっすか？,二週間後、休めたりするっすか？
"あー、あー……
もう、声が上手く出ないんだけど","あー、あー……
もう、声が上手く出ないんだけど"
ねえ、今週ボーカルレッスンしてもいい?,ねえ、今週ボーカルレッスンしてもいい?
"決まりね！
約束、絶対守りなさいよ！","決まりね！
約束、絶対守りなさいよ！"
"はあ……！？
……次は絶対、ふゆの言ったとおりにしなさいよ！","はあ……！？
……次は絶対、ふゆの言ったとおりにしなさいよ！"
"ステージで目立つには、
キレッキレのダンスが必要よね！","ステージで目立つには、
キレッキレのダンスが必要よね！"
今週ダンスレッスン、準備してよね！！,今週ダンスレッスン、準備してよね！！
"ふゆはすっごく可愛いけど……
この可愛さに甘んじてちゃダメよね","ふゆはすっごく可愛いけど……
この可愛さに甘んじてちゃダメよね"
今週、ビジュアルレッスンさせて！,今週、ビジュアルレッスンさせて！
"あー、もう……
頑張りすぎてクタクタなんだけど","あー、もう……
頑張りすぎてクタクタなんだけど"
"今週は休ませて
体はアイドルの資本なんだから","今週は休ませて
体はアイドルの資本なんだから"
ねえ、一週間後ボーカルレッスンしてもいい?,ねえ、一週間後ボーカルレッスンしてもいい?
一週間後ダンスレッスン、準備してよね！！,一週間後ダンスレッスン、準備してよね！！
一週間後、ビジュアルレッスンさせて！,一週間後、ビジュアルレッスンさせて！
"一週間後は休ませて
体はアイドルの資本なんだから","一週間後は休ませて
体はアイドルの資本なんだから"
ねえ、二週間後にボーカルレッスンしてもいい?,ねえ、二週間後にボーカルレッスンしてもいい?
二週間後にダンスレッスン、準備してよね！！,二週間後にダンスレッスン、準備してよね！！
二週間後、ビジュアルレッスンさせて！,二週間後、ビジュアルレッスンさせて！
"二週間後は休ませて
体はアイドルの資本なんだから","二週間後は休ませて
体はアイドルの資本なんだから"
歌のクオリティを上げたいんだけど、,歌のクオリティを上げたいんだけど、
今週はボーカルレッスンにしてくれない？,今週はボーカルレッスンにしてくれない？
ありがとう、助かるわ,ありがとう、助かるわ
いい度胸してるじゃない,いい度胸してるじゃない
はあ……思いっきり歌ったわね,はあ……思いっきり歌ったわね
おかげでいい歌が届けられそう,おかげでいい歌が届けられそう
プロデュース中に獲得した「SP」を使って\n新しいスキルなどを獲得することができるんですよ～,"You can use the ""SP"" you gain while producing
to obtain new skils and more～"
オーディションに挑戦する前には\n忘れずに「振り返り」をしましょうね,"Don't forget to ""Reminisce"" before trying 
out for an Audition."
振り返りではライブスキルやパッシブスキルを習得できます\nスキルを習得するためには、20以上のSPが必要ですよ～,"By Reminiscing, you can learn Live and Passive Skills.
To learn Skills, you need 20 or more SP～"
SPが足りないようですね……SPはお仕事の\n「トークイベント」などで獲得することができます♪,"It seems like you don't have enough SP. You can gain 
SP by doing ""Talk Shows"" and Work-related things♪"
フェスユニットはこの5人で編成します,A Fes Unit is made up of these 5 girls.
ここに注目してください\nフェスユニットにはポジションというものがあります,"Notice how they're all set in a Position within 
the Fes Unit?"
そこに編成されたアイドルは、ポジションごとに様々な\n「ポジションボーナス」がつきますよ〜,"The Idols set in that Position will receive various
""Position Bonuses"" depending on the slot〜"
次にこちらがユニットボーナスのマークになります\n同じユニットで編成するとボーナスが得られます,"Next up is something called a Unit Bonus Mark.
If you use the same unit, you will get a bonus."
ボーナスの詳細はこのボタンから\n確認することができますよ〜,"You can check the details of the bonus by 
clicking this button〜"
ここでアイドルたちのボーナスを確認してみてください,You can check out your Idols' bonuses here.
それではもどりましょう,Let's go back now.
そしてここにフェスユニットの強さが表示されます\n自分がどのくらいの強さなのか参考にしてみましょう〜,そしてここにフェスユニットの強さが表示されます\n自分がどのくらいの強さなのか参考にしてみましょう〜
その他の情報はこのTIPSを見てみましょう〜,その他の情報はこのTIPSを見てみましょう〜
それではまずひとり\nフェスアイドルを入れ替えてみましょう,それではまずひとり\nフェスアイドルを入れ替えてみましょう
チュートリアルの最後に\nお得な情報をお伝えしますね,チュートリアルの最後に\nお得な情報をお伝えしますね
画面上にあるこのボタンをタップしてください,画面上にあるこのボタンをタップしてください
ここでは、達成することでフェザージュエルを獲得できる\nミッションを確認することができます,ここでは、達成することでフェザージュエルを獲得できる\nミッションを確認することができます
ぜひミッションに挑戦して\nフェザージュエルを獲得しちゃいましょう〜♪,ぜひミッションに挑戦して\nフェザージュエルを獲得しちゃいましょう〜♪
最後にプロデュース『W.I.N.G.』の最後を飾る\n決勝戦について説明します,最後にプロデュース『W.I.N.G.』の最後を飾る\n決勝戦について説明します
『W.I.N.G.』決勝の週までスキップしておきましたよ〜,『W.I.N.G.』決勝の週までスキップしておきましたよ〜
『W.I.N.G.』優勝に向けて重要なポイントを\n確認しましょう～,『W.I.N.G.』優勝に向けて重要なポイントを\n確認しましょう～
『W.I.N.G.』の優勝はとても素敵な報酬の獲得に\nつながります♪,『W.I.N.G.』の優勝はとても素敵な報酬の獲得に\nつながります♪
"今回はファン人数500,000人以上獲得した状況で\n決勝戦に挑んでみましょう","今回はファン人数500,000人以上獲得した状況で\n決勝戦に挑んでみましょう"
特訓したいアイドルを選択します,特訓したいアイドルを選択します
次に、何回特訓するかを決めていきます,次に、何回特訓するかを決めていきます
左の欄が特訓の回数で解放されるスキルの一覧です\nどんなスキルがあるか確認してみましょう〜,左の欄が特訓の回数で解放されるスキルの一覧です\nどんなスキルがあるか確認してみましょう〜
アイドルは所持数だけ、\n最大４回まで特訓することができます,アイドルは所持数だけ、\n最大４回まで特訓することができます
それでは特訓回数を設定してみましょう\n今回は最大まで特訓してみてください～,それでは特訓回数を設定してみましょう\n今回は最大まで特訓してみてください～
特訓が完了です\n★が増えていることを確認してくださいね～,特訓が完了です\n★が増えていることを確認してくださいね～
『スキップ』の実行には、1回につき\nスキップチケット1枚が必要です,『スキップ』の実行には、1回につき\nスキップチケット1枚が必要です
今回はスキップチケットを1枚プレゼントします\n早速スキップを試してみましょう,今回はスキップチケットを1枚プレゼントします\n早速スキップを試してみましょう
まずはスキップするプロデュースの回数を設定します\n今回は1回にしておきますね〜,まずはスキップするプロデュースの回数を設定します\n今回は1回にしておきますね〜
残り時間や、使用するチケットの情報を\n確認したら『スキップ』ボタンで実行しましょう♪,残り時間や、使用するチケットの情報を\n確認したら『スキップ』ボタンで実行しましょう♪
審査員の方々は、アイドル達に厳しいコメントを\nされます。アイドルの「メンタル」を常に見守って\n適切な指示を出してあげましょう,審査員の方々は、アイドル達に厳しいコメントを\nされます。アイドルの「メンタル」を常に見守って\n適切な指示を出してあげましょう
２ターン目はこちらの「スキル」を\n選択してみてください,"For turn 2, please choose
this skill."
アピールメーターをTAPしてください,Please TAP the appeal meter.
はい、こちらの画面で確認できます♪,"Right, you can check them on this screen♪"
「スキルパネル」はプロデュースアイドルが\nプロデュース中に覚えるためのものになります♪,"Your Produce Idol can learn a Support Idol's
Skill Panel skills during a Produce run♪"
「ライブスキル」はオーディションやライブで\n審査員にアピールする時に使用するスキルです,"Live Skills are skills used during auditions
to appeal to the judges."
「パッシブスキル」は、ライブ中の審査員への\nアピール力をアップする効果や、プロデュースアイドルの\n基礎値上限をアップできたりするものです,"Passive skills include effects that
increase your appeal power, or
raise the limit of your base stats."
続いてサポートアイドルの所持スキルを見てみましょう,"Next, let's look at the skills the Support knows."
「所持スキル」は、サポートアイドルがプロデュース中に\n発動するスキルです。特訓やトレーニングでサポートアイ\nドルを強化することでスキルレベルがアップしますよ～,"Owned Skills are only active during a Produce
run. By evolving or training a support, these
skills will level up～"
「ライブスキル」は、オーディションやライブで\n審査員にアピールする時に使用するスキルです,"Live Skills are the appeals this idol
can use on judges during auditions or lives."
「サポートスキル」はプロデュース中に\nレッスンやお仕事をサポートしてくれるスキルです♪,"Support Skills are skills that help out
during lessons and jobs in a Produce run♪"
レッスンやお仕事を行った時に獲得できる基礎値が\n増えたり、体力の消費を抑えたり、プロデュースを\n助けてくれるスキルが多くあるんですよ～,"They have lots of different effects, from
increasing that stat gains of a lesson room,
reducing stamina consumption, etc.～"
それでは実際に編成するため\n一度「サポートアイドル編成一覧」へ戻ってみましょう～,To actually set a unit let's \ngo back to the Support Idol list～
プロデュース中の「シーズン」について説明しますね〜,プロデュース中の「シーズン」について説明しますね〜
ファン人数と現在のアイドルランクは\nここを見て確認しましょう,ファン人数と現在のアイドルランクは\nここを見て確認しましょう
次は「オーディション」について説明していきますね～,"Well then, I'll explain Auditions next～"
オーディションに合格すると\n一度にたくさんのファンを獲得することができます\n果敢に挑戦していきましょう～,"In auditions, you can
get a lot of fans at once.
Let's boldly challenge them～"
獲得できるファン人数は\nオーディションごとに決まっています\n下の吹き出し部分で確認できますよ～♪,獲得できるファン人数は\nオーディションごとに決まっています\n下の吹き出し部分で確認できますよ～♪
各オーディションで獲得できるファン人数が異なるので\n確かめてみましょう,各オーディションで獲得できるファン人数が異なるので\n確かめてみましょう
ファン人数を多く獲得できるオーディションは\nその分、合格するのが難しくなるので注意しましょう,ファン人数を多く獲得できるオーディションは\nその分、合格するのが難しくなるので注意しましょう
それでは最初のオーディションに戻ります,それでは最初のオーディションに戻ります
育てているアイドルの「得意ジャンル」と\n「流行１位のジャンル」が同じ時に挑戦することが\nオーディション成功のコツですよ～,育てているアイドルの「得意ジャンル」と\n「流行１位のジャンル」が同じ時に挑戦することが\nオーディション成功のコツですよ～
次に振り返りについて説明します,次に振り返りについて説明します
『W.I.N.G.』でのプロデュース、お疲れ様でした♪\nそれでは、フェスアイドルを誕生させましょう～,『W.I.N.G.』でのプロデュース、お疲れ様でした♪\nそれでは、フェスアイドルを誕生させましょう～
フェスアイドルの説明です,フェスアイドルの説明です
総合評価はフェスアイドルの能力によって評価されます\nプロデュース中のランクとは異なるのでご注意ください,総合評価はフェスアイドルの能力によって評価されます\nプロデュース中のランクとは異なるのでご注意ください
プロデュースの成績などによって\nよりよいものが獲得できるようになりますよ～♪,プロデュースの成績などによって\nよりよいものが獲得できるようになりますよ～♪
そしてフェスアイドル誕生の後\n条件を満たしていればTrueEndコミュが始まります,そしてフェスアイドル誕生の後\n条件を満たしていればTrueEndコミュが始まります
TrueEndコミュはご自身の力で\n確かめてみてくださいね～,TrueEndコミュはご自身の力で\n確かめてみてくださいね～
アイドルロードについて説明しますね〜,アイドルロードについて説明しますね〜
プロデュースについて簡単に説明しますね〜♪,プロデュースについて簡単に説明しますね〜♪
まずは「レッスン」について説明します〜,まずは「レッスン」について説明します〜
今明るく光っているのが「レッスン」です,今明るく光っているのが「レッスン」です
レッスンの種類は３つあります\nこちらではそれぞれ「Vocal」「Dance」「Visual」の\n基礎能力を伸ばすことができます,レッスンの種類は３つあります\nこちらではそれぞれ「Vocal」「Dance」「Visual」の\n基礎能力を伸ばすことができます
それでは……今回は\nボーカルレッスンに挑戦してみましょう～,"Well then... this time,
let's try a Vocal Lesson～"
プロデューサーさん、アイドルの体力が減っている事に\n気付きましたか？,"Producer, did you notice your idol's
stamina is decreasing?"
アイドルに無理をさせすぎると「トラブル」が発生して\nしまいます。こまめに休ませてあげましょうね\n体調管理もプロデューサーさんの大事なお仕事ですよ～,"""Trouble"" will occur if the idol works too hard.
Let's rest, managing your stamina is
also an important part of the job～"
それではオートの設定を進めていきましょう〜,それではオートの設定を進めていきましょう〜
まずは、プロデュース設定を行います,まずは、プロデュース設定を行います
『G.R.A.D.』を選択してみましょう,"Let's select ""G.R.A.D."""
「ユニット編成」について説明します,「ユニット編成」について説明します
ユニット編成はプロデュースを担当する\n「プロデュースアイドル」ひとりと,ユニット編成はプロデュースを担当する\n「プロデュースアイドル」ひとりと
彼女をサポートする\n「サポートアイドル」５人の計６人を編成します,彼女をサポートする\n「サポートアイドル」５人の計６人を編成します
プロデュースアイドルがどのような成長をするかは\n編成したサポートアイドルと\nスケジュールの組み方で左右されますよ～,プロデュースアイドルがどのような成長をするかは\n編成したサポートアイドルと\nスケジュールの組み方で左右されますよ～
サポートアイドルを編成しましょう\nサポートアイドルのアイコンをタップしてください♪,サポートアイドルを編成しましょう\nサポートアイドルのアイコンをタップしてください♪
例えばVocalが得意なプロデュースアイドルを\n育成したい場合には、「Vocal」に特化したスキルを\n多く持ったサポートアイドルを編成してみましょう～,例えばVocalが得意なプロデュースアイドルを\n育成したい場合には、「Vocal」に特化したスキルを\n多く持ったサポートアイドルを編成してみましょう～
所持スキルを確認したい時は、\nアイドルのアイコンを長押しして詳細を表示してください,所持スキルを確認したい時は、\nアイドルのアイコンを長押しして詳細を表示してください
編成するサポートアイドルをタップしてみましょう♪,Let's tap a Support Idol to set them♪
以上で編成のチュートリアルは終了です。\nアイドルの詳細を見ながらプロデュース方針に\n合ったサポートアイドルを編成してあげてくださいね～,"That ends this tutorial.
Please check the details of your
Support Idols to form a plan of action～"
余談ですが、「ほぼ全てのゲーム画面」に\n「？ボタン」が設置されていますよ\nわからないことがあったら、ここで確認をしてくださいね,余談ですが、「ほぼ全てのゲーム画面」に\n「？ボタン」が設置されていますよ\nわからないことがあったら、ここで確認をしてくださいね
もっとアイドルの育成方法について\n知りたい場合は初心者ミッションに挑戦してみてください,もっとアイドルの育成方法について\n知りたい場合は初心者ミッションに挑戦してみてください
初心者ミッションをクリアすると\n素敵な報酬も獲得できますよ〜♪,初心者ミッションをクリアすると\n素敵な報酬も獲得できますよ〜♪
初心者ミッションはプロデューサーデスクから\n挑戦することができます,初心者ミッションはプロデューサーデスクから\n挑戦することができます
さっそく初心者ミッションを\n体験してみましょう〜♪,さっそく初心者ミッションを\n体験してみましょう〜♪
「グレードフェス」に参加してみましょう〜,「グレードフェス」に参加してみましょう〜
３ターン目はこちらの「スキル」を\n選択してみてください,３ターン目はこちらの「スキル」を\n選択してみてください
アピールメーターをTAPしてください\nふふ、そろそろ慣れてきましたか～？,アピールメーターをTAPしてください\nふふ、そろそろ慣れてきましたか～？
新しく『オートプロデュース』が追加されました〜\n便利な機能なのでぜひ使ってみてくださいね〜,新しく『オートプロデュース』が追加されました〜\n便利な機能なのでぜひ使ってみてくださいね〜
ショップではゲームを進めていく上で\n役に立つ様々なアイテムを買うことができますよ〜,ショップではゲームを進めていく上で\n役に立つ様々なアイテムを買うことができますよ〜
商品はフェザージュエル、マニー、\nイベントポイントなどで買うことができます,商品はフェザージュエル、マニー、\nイベントポイントなどで買うことができます
アイテムと交換するものもありますから\n色々見てくださいね〜,アイテムと交換するものもありますから\n色々見てくださいね〜
それではゴールドトレーニングチケットを\n購入してみましょう～,それではゴールドトレーニングチケットを\n購入してみましょう～
プロデュースのチュートリアルお疲れ様でした。\n続いて大きなゲームの流れを説明していきます～♪,プロデュースのチュートリアルお疲れ様でした。\n続いて大きなゲームの流れを説明していきます～♪
ここプロデューサーデスクでは、アイドルを育成するための\nプロデュース業務を一覧できます,ここプロデューサーデスクでは、アイドルを育成するための\nプロデュース業務を一覧できます
様々なプロデュース業務をこなしてプロデューサーレベルを\n上げていくと、様々な特典を受けることができますよ〜♪,様々なプロデュース業務をこなしてプロデューサーレベルを\n上げていくと、様々な特典を受けることができますよ〜♪
まずは「初心者ミッション」を進めましょう\n基本的なプロデュース業務がわかるようになります,まずは「初心者ミッション」を進めましょう\n基本的なプロデュース業務がわかるようになります
その次は「『W.I.N.G.』攻略ミッション」にそって進めれ\nば、プロデュース『W.I.N.G.』編のコツがわかります,その次は「『W.I.N.G.』攻略ミッション」にそって進めれ\nば、プロデュース『W.I.N.G.』編のコツがわかります
進め方がわかったら『W.I.N.G.』編を繰り返して\n強いアイドルを育成しましょう〜,進め方がわかったら『W.I.N.G.』編を繰り返して\n強いアイドルを育成しましょう〜
『W.I.N.G.』編に慣れてきたら\nTrue End研修でさらなる攻略方法を学びましょう〜,『W.I.N.G.』編に慣れてきたら\nTrue End研修でさらなる攻略方法を学びましょう〜
そしてプロデュースは他にもあります\nファン感謝祭編は「アイデア」を集めることで\nアイドルを成長させるプロデュースです,そしてプロデュースは他にもあります\nファン感謝祭編は「アイデア」を集めることで\nアイドルを成長させるプロデュースです
『G.R.A.D.』編はサポートアイドルが持つ「ひらめき」に\nよってアイドルを成長させるプロデュースです,『G.R.A.D.』編はサポートアイドルが持つ「ひらめき」に\nよってアイドルを成長させるプロデュースです
『Landing Point』編は楽曲を選んで、それらの熟練度を\n上げることでアイドルを成長させるプロデュースです,『Landing Point』編は楽曲を選んで、それらの熟練度を\n上げることでアイドルを成長させるプロデュースです
『S.T.E.P.』編はアイドルが持つ「ノウハウ」を用いて\nアイドルを成長させるプロデュースです,『S.T.E.P.』編はアイドルが持つ「ノウハウ」を用いて\nアイドルを成長させるプロデュースです
そして育成したフェスアイドルでユニットを組んで\nグレードフェスに挑みましょう～,そして育成したフェスアイドルでユニットを組んで\nグレードフェスに挑みましょう～
ここではオートプロデュースの状況が一覧できます,ここではオートプロデュースの状況が一覧できます
『終了』はオートスケジュールの中断です\n未完了のプロデュースはキャンセルとなります,『終了』はオートスケジュールの中断です\n未完了のプロデュースはキャンセルとなります
『スキップ』は設定したオートスケジュールの\n残り時間をスキップし、進行中のプロデュースを完了します,『スキップ』は設定したオートスケジュールの\n残り時間をスキップし、進行中のプロデュースを完了します
スキップは1日5回までしか行うことができません\n残り回数を確認してくださいね〜,スキップは1日5回までしか行うことができません\n残り回数を確認してくださいね〜
「Dance担当審査員」を選択しましょう～,"Well then, let's select the Dance Judge～"
オートスケジュールが完了すると\nすべてのプロデュース結果がこちらに表示されます,"Once Auto-Produce is done,
you can check your producing results here."
誕生したフェスアイドルや獲得した報酬は\nこの画面で確認してくださいね〜♪,誕生したフェスアイドルや獲得した報酬は\nこの画面で確認してくださいね〜♪
今回はチュートリアルなので\nフェスアイドルや報酬はありません\n次はぜひプロデューサーさんご自身で使ってみてくださいね〜,今回はチュートリアルなので\nフェスアイドルや報酬はありません\n次はぜひプロデューサーさんご自身で使ってみてくださいね〜
以上でオートプロデュースのチュートリアルは終了です\nプロデューサーさん、お疲れ様でした〜,"That ends the Auto-Produce tutorial.
Producer-san, thanks for the hard work～"
今回のミッションではこちらのアイドルを選んでください,今回のミッションではこちらのアイドルを選んでください
オートプロデュースを開始するには、\n設定したオートプロデュース回数分のスタミナが必要です,オートプロデュースを開始するには、\n設定したオートプロデュース回数分のスタミナが必要です
必要スタミナに足りるように\nリカバリーソーダを使用してください,必要スタミナに足りるように\nリカバリーソーダを使用してください
