name,ja,en
extraCampaign.application.applicationAgreementDialog.body.items.5.title,本応募企画に関する注意事項,本応募企画に関する注意事項
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.1,■イベント当日の本人確認について,■About Confirming Identity at the day of Event
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.10,運転免許証 / パスポート / 顔写真付きマイナンバーカード / 顔写真付き住民基本台帳カード / 顔写真付き学生証 / 顔写真付き社員証 / 顔写真付き健康保険被保険者証 / その他公的機関が発行した顔写真付き身分証明書,運転免許証 / パスポート / 顔写真付きマイナンバーカード / 顔写真付き住民基本台帳カード / 顔写真付き学生証 / 顔写真付き社員証 / 顔写真付き健康保険被保険者証 / その他公的機関が発行した顔写真付き身分証明書
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.11,・お名前が確認できる身分証明書に該当する書類は以下のいずれかになります。,・お名前が確認できる身分証明書に該当する書類は以下のいずれかになります。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.12,学生証 / 社員証 / 住民基本台帳カード / 健康保険被保険者証 / 住民票の写し / 母子健康手帳 / 年金手帳,学生証 / 社員証 / 住民基本台帳カード / 健康保険被保険者証 / 住民票の写し / 母子健康手帳 / 年金手帳
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.13,・コピーした身分証明書、有効期限切れの身分証明書、クレジットカード、定期券、診察券、ポイントカード、公共料金払込票、マイナンバー通知カード等は有効な身分証明書には該当しません。\r,・コピーした身分証明書、有効期限切れの身分証明書、クレジットカード、定期券、診察券、ポイントカード、公共料金払込票、マイナンバー通知カード等は有効な身分証明書には該当しません。\r
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.14,■その他イベントについて,■Regarding Other Events
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.15,・本イベントにおきましては、フラワースタンド等の祝花を受け付けさせていただく予定です。詳細は追ってご案内いたします。,・本イベントにおきましては、フラワースタンド等の祝花を受け付けさせていただく予定です。詳細は追ってご案内いたします。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.16,・座席は当日確認用メールにてご案内いたします。,・座席は当日確認用メールにてご案内いたします。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.17,・座席の指定はできません。また、座席位置は会場内からランダムに抽選させていただきます。,・座席の指定はできません。また、座席位置は会場内からランダムに抽選させていただきます。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.18,・イベント会場の都合上、座席によってはご着席いただいた状態でご観覧いただきます。予めご了承ください。,・イベント会場の都合上、座席によってはご着席いただいた状態でご観覧いただきます。予めご了承ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.19,・座席位置によっては一部見えづらい場所もございます。予めご了承ください。,・座席位置によっては一部見えづらい場所もございます。予めご了承ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.2,本イベント当日は受付の混雑が予想されるため、開場時間前に本人確認を実施致します。当選されたお客様ごとに受付時間が異なりますのでご注意ください。受付時間および受付場所については当日確認用メールをご確認ください。,本イベント当日は受付の混雑が予想されるため、開場時間前に本人確認を実施致します。当選されたお客様ごとに受付時間が異なりますのでご注意ください。受付時間および受付場所については当日確認用メールをご確認ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.20,・座席位置によって、見切れの度合いは異なりますのでご注意ください。,・座席位置によって、見切れの度合いは異なりますのでご注意ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.21,・イベント会場までの交通費、宿泊費その他のイベント参加にかかる費用は、お客様の自己負担となります。,・イベント会場までの交通費、宿泊費その他のイベント参加にかかる費用は、お客様の自己負担となります。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.22,・イベントの前日及び深夜からのご来場はご遠慮ください。,・イベントの前日及び深夜からのご来場はご遠慮ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.23,・会場には駐車、駐輪を行えるスペースはございません。ご来場の際は公共の交通機関をご利用ください。,・会場には駐車、駐輪を行えるスペースはございません。ご来場の際は公共の交通機関をご利用ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.24,・会場および会場近辺には喫煙所はございませんのでご了承ください。,・会場および会場近辺には喫煙所はございませんのでご了承ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.25,・会場内外で発生した事故、盗難その他のトラブル等について、弊社は一切責任を負いません。,・会場内外で発生した事故、盗難その他のトラブル等について、弊社は一切責任を負いません。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.26,・お客様が法令違反行為、第三者の権利を侵害する行為、その他弊社が不適当と判断する行為をした場合には、イベント参加の取消、会場からの排除、その他の弊社が適切と判断する対応をすることがあります。,・お客様が法令違反行為、第三者の権利を侵害する行為、その他弊社が不適当と判断する行為をした場合には、イベント参加の取消、会場からの排除、その他の弊社が適切と判断する対応をすることがあります。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.27,・イベント会場において、無許可での撮影または録音はかたくお断りいたします。,・イベント会場において、無許可での撮影または録音はかたくお断りいたします。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.28,・弊社が運営するサイトや各種報道媒体を通じて公開されるイベント映像または画像に、イベントに参加したお客様の肖像が映り込む場合があります。,・弊社が運営するサイトや各種報道媒体を通じて公開されるイベント映像または画像に、イベントに参加したお客様の肖像が映り込む場合があります。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.29,・イベント当日の物販はございません。,・イベント当日の物販はございません。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.3,開場前受付：13:00～14:00／15:00～16:00（予定）,開場前受付：13:00～14:00／15:00～16:00（予定）
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.30,・イベントを予告なく変更または中止する場合があります。,・イベントを予告なく変更または中止する場合があります。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.4,当選されたお客様は本イベント当日、以下を必ずお持ちください。,当選されたお客様は本イベント当日、以下を必ずお持ちください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.5,※万が一、ご持参いただけない場合は、観覧席エリアへのご入場をお断りさせていただきます。予めご了承ください。,※万が一、ご持参いただけない場合は、観覧席エリアへのご入場をお断りさせていただきます。予めご了承ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.6,【当日ご持参いただきたいもの】,【当日ご持参いただきたいもの】
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.7,ご本人様確認のため､当日確認用メール及びお名前が確認できる身分証明書(顔写真付きの身分証明書であれば1点、お持ちでない場合は、お名前が確認できる身分証明書2点のご提示をいただきます)を本イベント受付にて確認させていただきますので必ずご持参ください。,ご本人様確認のため､当日確認用メール及びお名前が確認できる身分証明書(顔写真付きの身分証明書であれば1点、お持ちでない場合は、お名前が確認できる身分証明書2点のご提示をいただきます)を本イベント受付にて確認させていただきますので必ずご持参ください。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.8,なお、顔写真付きの身分証明書内のお写真とご当選者様の容姿が著しく異なる場合、ご入場いただけない場合がございます。,なお、顔写真付きの身分証明書内のお写真とご当選者様の容姿が著しく異なる場合、ご入場いただけない場合がございます。
extraCampaign.application.applicationAgreementDialog.body.items.6.descriptions.9,・顔写真付きの身分証明書に該当する書類は以下のいずれかになります。,・顔写真付きの身分証明書に該当する書類は以下のいずれかになります。
extraCampaign.application.applicationAgreementDialog.body.items.6.title,本イベントに関する注意事項,本イベントに関する注意事項
extraCampaign.application.applicationAgreementDialog.title,応募規約,Entry Agreement
extraCampaign.application.applyErrorDialog.text,応募期間が終了しているため\r応募できませんでした,応募期間が終了しているため\r応募できませんでした
extraCampaign.application.applyErrorDialog.title,応募エラー,Entry Error
extraCampaign.application.applyResultDialog.comment,応募券の使用先設定を保存しました\r\r抽選は応募期間終了時点での内容で処理されます,応募券の使用先設定を保存しました\r\r抽選は応募期間終了時点での内容で処理されます
extraCampaign.application.applyResultDialog.notice,応募期間中はいつでも\r何度でも応募先を変更することができます,応募期間中はいつでも\r何度でも応募先を変更することができます
extraCampaign.application.applyResultDialog.title,応募設定完了,Application Complete
extraCampaign.application.applyTimeLimit,yyyy/mm/dd HH:MMまで,Until yyyy/mm/dd HH:MM
extraCampaign.application.applyTimeLimitLabel,応募期間,Application Period
extraCampaign.application.heading,応募券の使用先を選んでください,応募券の使用先を選んでください
extraCampaign.application.notice,必ず応募規約をお読みいただき\r内容に同意した上でご応募ください,必ず応募規約をお読みいただき\r内容に同意した上でご応募ください
extraCampaign.application.possessionTicketCountLabel,獲得数,Receive Count
extraCampaign.application.receivTimeOverNotice,受け取り期間終了,受け取り期間終了
extraCampaign.application.receiveTicketsErrorDialog.text,受取期間が終了しているため\r応募券を受け取れませんでした,受取期間が終了しているため\r応募券を受け取れませんでした
extraCampaign.application.receiveTicketsErrorDialog.title,応募券受け取りエラー,応募券受け取りエラー
extraCampaign.application.receiveTicketsResultDialog.text,%{ticketName}を\r%{ticketCount}枚獲得しました,%{ticketName}を\r%{ticketCount}枚獲得しました
extraCampaign.application.receiveTicketsResultDialog.title,応募券受け取り,応募券受け取り
extraCampaign.application.receiveTimeLimit,yyyy/mm/dd HH:MMまで,Until yyyy/mm/dd HH:MM
extraCampaign.application.receiveTimeLimitLabel,受取期間,Receive Period
extraCampaign.application.receivedNotice,受け取り済,Received
extraCampaign.application.ticketCountUnit,枚,x
extraCampaign.application.warnings.1,A賞およびB賞に応募し、A賞に当選した場合、B賞の抽選は行われません。,A賞およびB賞に応募し、A賞に当選した場合、B賞の抽選は行われません。
extraCampaign.application.warnings.2,応募先は応募期間中何度でも変更できますが、応募期間終了時に選択していた応募先に自動的に応募されます。なお、応募完了時、応募規約に同意したものとみなされます。,応募先は応募期間中何度でも変更できますが、応募期間終了時に選択していた応募先に自動的に応募されます。なお、応募完了時、応募規約に同意したものとみなされます。
extraCampaign.result.appliedTicketArea.rewardTitles.1,A賞,Prize A
extraCampaign.result.appliedTicketArea.rewardTitles.2,B賞,Prize B
extraCampaign.result.appliedTicketArea.ticketNum,%{ticketNum}枚,#%{ticketNum}
extraCampaign.result.appliedTicketArea.title,応募総数,Entry Count
extraCampaign.result.idConfirmationDialog.description,個人情報の入力には上記のコードが必須となります,個人情報の入力には上記のコードが必須となります
extraCampaign.result.idConfirmationDialog.notice,このIDは当選者を識別するためのIDなので\r第三者に知られないようにしてください,このIDは当選者を識別するためのIDなので\r第三者に知られないようにしてください
extraCampaign.result.idConfirmationDialog.title,イベント参加用シリアルコード,イベント参加用シリアルコード
extraCampaign.result.receiveRewardResultDialog.text,%{name}を\r%{num}枚獲得しました,%{name}を\r%{num}枚獲得しました
extraCampaign.result.receiveRewardResultDialog.title,アイテム受け取り,Receive Items
extraCampaign.result.rewardA.notice,期限までに個人情報の入力が完了していない場合、当選が無効となります,期限までに個人情報の入力が完了していない場合、当選が無効となります
extraCampaign.result.rewardState.lose,非当選,No Prize
extraCampaign.result.rewardState.received,受け取り済,Received
extraCampaign.result.rewardState.unapplied,未応募,Not Applied
extraCampaign.result.rewardState.waitForAnnouncement,抽選中,Waiting
gasha.gashaHistory.gashaName,「%{name}」\nで加入したアイドルです。,Received idol「%{name}」.
gasha.gashaHistory.noGashaHistory,ガシャの履歴はありません。,No Gacha History.
gasha.stamp.complete,スタンプ報酬すべて獲得済み,All stamp rewards have been earned
gasha.stamp.notice.default,スタンプカードが最後まで埋まった後は1枚目～%{boardNum}枚目の内容を繰り返します,"After all stamp cards are filled, the first 1-%{boardNum} cards will be repeated."
gasha.stamp.notice.maxStampNum,スタンプ%{maxStampNum}個目以降はスタンプ報酬を獲得できません,Cannot receive rewards after %{maxStampNum} stamps
header.characterBirthday,誕生日特設ページ,Special Birthday Page
header.extraCampaign,イベント特設ページ,Special Event Page
header.gashaHistory,ガシャ履歴,Gacha History
produceAction.eventDetailPop.title,発動中イベント,Active Event
produceItemPreparation.expiredTime,%{expiredAt}まで,Until %{expiredAt}
reporterEvent.answer.acceptInterview,取材を受ける,Accept Interview
reporterEvent.answer.declineInterview,取材を受けない,Decline Interview
reporterEvent.answer.lesson,レッスンの様子,About Lessons
reporterEvent.answer.ok,これでOK,That's OK
reporterEvent.answer.private,プライベートの様子,About Private Life
reporterEvent.answer.rethink,考え直す,Let's Rethink
reporterEvent.answer.work,仕事の様子,About Work
reporterEvent.answerMail,密着取材の依頼だ\nどうしようか……,It's a request for an interview.\nWhat should I do...
reporterEvent.badReporter,阿久井 徳次郎と申します──それじゃ、\n隅から隅まで取材させていただくんで、どうぞ宜しく,"I'm Tokujiro Akui,\nI'll be covering every aspect, best regards."
reporterEvent.declineInterview,やめておこう。\n残念だが今回は都合がつかないな────,Let's not do it.\nUnfortunately it's not convenient at this time──
reporterEvent.eventDetailTitle.failure,悪徳記者取材中,Corrupt Reporter Interview
reporterEvent.eventDetailTitle.success,敏腕記者取材中,Skilled Reporter Interview
reporterEvent.eventEndCutIn.endText,取材による効果の発動期間が終了しました,The Interview effect period has ended.
reporterEvent.eventEndCutIn.failure,うちの記事のせいでアイドルの評判が落ちた？\n言いがかりはよしてください。偶然ですよ、偶然──,"Your idol lost some reputation after my article?\nDon't look at me, it's a coincidence."
reporterEvent.eventEndCutIn.success,素敵なお話をありがとうございました！\nこれからのご活躍も楽しみにしております──！,Thanks for your wonderful story!\nWe look forward to your success in the future!
reporterEvent.goodReporter,敏腕通信社『週刊イチオシ！』編集部の善村 良子です！\n%{name}様の魅力を伝えられるように努めます！,This is Ryoko Yoshimura from Weekly Recommended's\neditorial department! I think we conveyed\nMs. %{name}'s charm well!
reporterEvent.incomingMail,『%{name}様のご活躍を拝見し、\n是非とも、お話を伺いたいと────────』,"""I've been watching Ms. %{name}'s\naccomplishments, and would love to interview\nthem──"""
reporterEvent.selectInterviewType,よし！　それじゃあ、\nどんな記事にしてもらおうか？,"Alright!\nWell then, what kind of article should we do?"
reporterEvent.speaker.badReporter,悪徳記者,Corrupt Reporter
reporterEvent.speaker.goodReporter,敏腕記者,Skillful Reporter
staffAssistEvent.eventDetailTitle,はづきさんアシスト中,Hazuki Assist
staffAssistEvent.greet,プロデューサーさん、どうかしましたか～？,"Producer, how are you～?"
staffAssistEvent.receivePresent,えっ、私に差し入れですか～？,"Huh, are you giving me homemade goods～?"
staffAssistEvent.openPresent,ありがとうございます♪\n中身を見てもいいですか～？,Thank you very much♪\r\nIs it okay if I look inside～?
staffAssistEvent.present.daifuku,いちご大福ですか～、とっても美味しそうです♪\nお茶を淹れるので、ご一緒しませんか～？,"Is it a strawberry daifuku～,it looks really delicious♪\r\nWould you like to brew some tea,and join me～?"
staffAssistEvent.present.pudding,プリンですか～、とっても楽しみです♪\n冷蔵庫で冷やしてからいただきますね～,Pudding～? I'm really looking forward to it♪\r\nLet's please cool it down in the refrigerator～
staffAssistEvent.present.chocolate,チョコレートですか～、疲れに良いって言いますもんね♪\n早速いただいちゃいますね～,"Is it chocolate～,they say that it's good for fatigue♪\r\nI'm going to eat it right away～"
staffAssistEvent.workHard,頑張っちゃいますよ～♪,Do your best～♪
staffAssistEvent.rest,少し休憩してきますね～……,I'm going to take a break～...
shop.applyCampaignConfirmation.notices.1,購入前に必ず応募規約をお読みください,Please read the entry agreement before purchasing.
shop.applyCampaignConfirmation.notices.2,購入時に応募規約に同意したものとみなします,You agree to the terms and conditions at the time of purchase.
shop.applyCampaignConfirmation.title,購入確認,Purchase Confirmation
shop.dayLimit,%{limit}/日,%{limit}/Day
shop.monthLimit,%{limit}/月,%{limit}/Month
shop.packageDialog.itemNameAndNum,%{name} × %{num},%{name} × %{num}
shop.packageDialog.noticeLimitText,【有効期限】%{expireDate},【Expires】%{expireDate}
shop.smallTabTitles.money.all,ALL,ALL
skinDetail.concertOnlyNotice,衣装変更対象はライブ衣装のみとなり、\r私服衣装は変更されません。,"This costume only changes the live outfit,\r\nregular outfit is not affected."
skinDetail.plainOnlyNotice,衣装変更対象は私服衣装のみとなり、\rライブ衣装は変更されません。,"This costume only changes the regular outfit,\r\nlive outfit is not affected."
training.resultTitleSuper,トレーニング超成功,ULTRA Training Success
training.successType.great,大成功,Great Success
training.successType.super,超成功,ULTRA Success
training.trainingTicketReturn.message,%{type}ボーナスの余剰Exp分を\rブロンズトレーニングチケットに変換して\rプレゼントに送りました,Excess Exp from %{type}\rhas been converted to Bronze Tickets\rand sent to Present Box
training.trainingTicketReturn.title,トレーニングキャンペーン,Training Campaign
beginnerMission.staffComment,初心者ミッションを進めて報酬を受け取ってくださいね〜,Please keep doing beginner missions to get your rewards～
beginnerMission.selectIdolPopTitle,初心者ミッションを始めるプロデュースアイドルを選択します,Select a Produce idol to move on with beginner missions.
beginnerMission.groupLabel.label.1,好きなアイドルを育てよう,Raise your favorite Idol
beginnerMission.groupLabel.label.2,1人目のサポートアイドルを育てよう,Raise 1 Support Idol
beginnerMission.groupLabel.label.3,2人目のサポートアイドルを育てよう,Raise 2 Support Idols
beginnerMission.groupLabel.label.4,3人目のサポートアイドルを育てよう,Raise 3 Support Idols
beginnerMission.groupLabel.label.5,4人目のサポートアイドルを育てよう,Raise 4 Support Idols
beginnerMission.groupLabel.label.6,5人目のサポートアイドルを育てよう,Raise 5 Support Idols
beginnerMission.groupLabel.label.7,より強力な編成でプロデュースに挑戦しよう,Challenge Produce with a Stronger Setup
beginnerMission.idolSelectNavigateText,まずは一緒に初心者ミッションを受けるアイドルを\n選んであげてくださいね〜\nおすすめのサポートアイドルをピックアップしますよ♪,"First, please choose the idol to do the\nbeginner missions with, and we'll give you\na set of recommended support idols♪"
beginnerMission.availableSupportIdolsDetailPop.title,プロデュースアイドル確認,Confirm Produce Idol
beginnerMission.availableSupportIdolsDetailPop.tips,%{idolName}さんのサポートに適した,Suitable Supports for %{idolName}
beginnerMission.availableSupportIdolsDetailPop.attribute,%{attribute}タイプ,%{attribute} Set
beginnerMission.availableSupportIdolsDetailPop.tips2,のアイドル5人に来てもらいました♪,of 5 support idols will come♪
beginnerMission.idolSelectConfirmPop.title,初心者ミッション開始確認,Start Beginner Mission Confirm
beginnerMission.idolSelectConfirmPop.text,選択したプロデュースアイドルでは\n以下のサポートアイドルが手に入ります\n初心者ミッションを開始しますか？,If you choose to produce this idol you\nwill receive the below support idols.\nStart the beginner missions?
beginnerMission.idolSelectConfirmPop.txtNotice,初心者ミッション開始後に選びなおすことはできません,Once you start the missions you can't re-select
beginnerMission.clearedAlert.title,初心者ミッション達成,Cleared Beginner Mission
beginnerMission.clearedAlert.text,以下のミッションを達成しました\n初心者ミッションページで報酬を受け取りましょう,Completed this mission - Receive\nyour rewards on the Beginner Missions page
beginnerMission.clearedAlert.reward,%{rewardName} ×%{num},%{rewardName} ×%{num}
countUpCampaign.unit.fes_raid_laps,周,wk
countUpCampaign.countUpText,%{unit}で%{title}達成,%{unit}で%{title}達成
countUpCampaign.clearedFooterText.fes_raid_laps,コラボフェスの到達周数でボーナスをGET!,コラボフェスの到達周数でボーナスをGET!
countUpCampaign.clearedFooterText.fan,プロデューサーズカップの累計獲得ファン数でボーナスをGET!,Get bonuses for the total number of fans you have obtained in the Producers' Cup!
countUpCampaign.closeAt,集計期間: %{closeAt} まで,集計期間: %{closeAt} まで
countUpCampaign.lastChallengeTitle,前回のチャレンジ結果,Previous Challenge Results
countUpCampaign.pCupAttention,休憩時間中のプロデュースなどで獲得したファン数も集計対象に含まれます,休憩時間中のプロデュースなどで獲得したファン数も集計対象に含まれます
countUpCampaign.fanCount,約%{count}億,約%{count}億
fortuneResultTweet.text1.normal,今日の運勢は・・・【%{rankName}】！素敵な1日になりそう！\n\n,今日の運勢は・・・【%{rankName}】！素敵な1日になりそう！\n\n
fortuneResultTweet.text1.special,今日の運勢は・・・【%{rankName}】！最高の運勢で、特別な1日になりそう！\n\n,今日の運勢は・・・【%{rankName}】！最高の運勢で、特別な1日になりそう！\n\n
fortuneResultTweet.text2,新年特別企画,新年特別企画
fortuneResultTweet.hashTag,シャニマスおみくじ,シャニマスおみくじ
fortuneResultTweet.text3,開催中！\nゲームにログインしておみくじを引こう！\n,開催中！\nゲームにログインしておみくじを引こう！\n
fortuneEffectPop.title,ご利益内容,ご利益内容
fortuneEffectPop.fesMoneyComment,おみくじのご利益により、フェスリハーサルや\nグレードフェスで「獲得マニーアップ」が発生!\nあと%{times}回有効！！,おみくじのご利益により、フェスリハーサルや\nグレードフェスで「獲得マニーアップ」が発生!\nあと%{times}回有効！！
fortuneEffectPop.friendshipComment,おみくじのご利益により、プロデュース開始時に\nサポートアイドルの「絆アップ」が発生！\nあと%{times}回有効！！,おみくじのご利益により、プロデュース開始時に\nサポートアイドルの「絆アップ」が発生！\nあと%{times}回有効！！
fortuneEffectPop.businessMotivationComment,おみくじのご利益により、営業で\n「モチベーションボーナスアップ」が発生！\nあと%{times}回有効！！,おみくじのご利益により、営業で\n「モチベーションボーナスアップ」が発生！\nあと%{times}回有効！！
fortuneEffectPop.trainingSuccessComment,おみくじのご利益により、トレーニングすると\n一定確率で「大成功」が発生！\nあと%{times}回有効！！,おみくじのご利益により、トレーニングすると\n一定確率で「大成功」が発生！\nあと%{times}回有効！！
fortuneEffectPop.specialComment,「モチベーションボーナスアップ」「絆アップ」\n「獲得マニーアップ」「トレーニング大成功」が発生！\nそれぞれ%{times}回有効！,「モチベーションボーナスアップ」「絆アップ」\n「獲得マニーアップ」「トレーニング大成功」が発生！\nそれぞれ%{times}回有効！
common.remainingText,あと,Left
common.remainingMinutes,あと%{minutes}分,%{minutes}m
common.remainingHours,あと%{hours}時間%{minutes}分,%{hours}h %{minutes}m
userDailyLottery.ticketPop.ticketName,%{name}×%{num},%{name}×%{num}
errorDialog.campaignClosedTitle,キャンペーン期間外,Campaign Closed
evolution.confirm.maxStaffComment,最大特訓はづきさんを消費して、特訓をします\nよろしいですか？,The Maximum Hazuki will be spent and evolution will be raised to max.\nIs this okay?
evolution.confirm.notice,特訓はづきさんが含まれています\n本当によろしいですか？,An evolution Hazuki is included.\nAre you really sure?
evolution.confirm.checkDescription,特訓を有効にする,Allow evolution
evolution.confirm.maxStaffNotice,1回以上特訓しているアイドルが選択されています\n特訓を開始した場合、余剰分の特訓回数は消失します,1回以上特訓しているアイドルが選択されています\n特訓を開始した場合、余剰分の特訓回数は消失します
evolution.confirm.maxStaffNoticeLevel,Lv.2以上のサポートアイドルが選択されています\n特訓を開始した場合、余剰分のExpは消失します,Lv.2以上のサポートアイドルが選択されています\n特訓を開始した場合、余剰分のExpは消失します
evolution.normalInvalidBlockText,%{name}は\n他のアイドルや特訓はづきさんと\n一緒に使用することはできません,%{name}は\n他のアイドルや特訓はづきさんと\n一緒に使用することはできません
evolution.featuredInvalidBlockText,アイドルまたは他の特訓はづきさんと\n一緒に使用することはできません,アイドルまたは他の特訓はづきさんと\n一緒に使用することはできません
evolution.featuredTrainingResultComment,%{name}の\n使用により、レベルが最大になりました,"Using %{name},\rthe maximum level has been reached."
fes.difficultySelect.fesMatchMessage,グレードフェスの難易度を選択してください,Please choose the Grade Fes difficulty.
gameEvent.presentEventSchedule.label.open,開催期間,Avail Time
gameEvent.presentEventSchedule.label.receive,受取期間,Accept Time
gameEvent.presentEventSchedule.schedule,%{closeAt}まで,Ends %{closeAt}
gameEvent.presentEvent.givePresentDialog.text,自然回復の上限を超えて回復します,Recover about the regular limit
gameEvent.presentEvent.releaseRewardCommuDialog.title,スペシャルコミュ解放,Special Commu Unlocked
gameEvent.presentEvent.releaseRewardCommuDialog.text,【%{firstName}】からプレゼントがもらえる\nスペシャルコミュが解放されました,Receive a present from 【%{firstName}】\nA special commu will be unlocked
gameEvent.presentEvent.spCommuPlayConfirmPop.title,スペシャルコミュ再生確認,Confirm Special Commu Playback
gameEvent.presentEvent.spCommuPlayConfirmPop.rewardCommuTitle,【%{firstName}】からのプレゼントコミュ,%{firstName}'s Present Commu
gasha.skinRate,%{rate}%,%{rate}%
gasha.instantLottery.popReward.title,スピードくじ,Speed Lotto
gasha.result.evolutionLabel,%{evolutionStage}回特訓済,Evolve %{evolutionStage}
header.produceIdolChoice,プロデュースアイドル選択,Choose Idol to Produce
header.idolRoad,アイドルロード,Idol Road
header.presentEvent,2019クリスマス特設ページ,Special 2019 Xmas Page
album.campaignOpenDateMsg,%{openDateTime}よりコミュ解放,Commus Avail From %{openDateTime}
mission.eventEnded,イベント終了,Event Over
option.homeContent.title.touch,コミュニケーションタッチ判定,Decide Communication Touch
option.homeContent.title.idolPrank,アイドルからのイタズラ,Idol Prank
option.homeContent.prank.unreleased,未解放,Unavailable
option.homeContent.prank.sealed,設定可能なアイドルがいません\n「2019ハロウィンのおかし」を使用すると\nイタズラ機能が解放されます,設定可能なアイドルがいません\n「2019ハロウィンのおかし」を使用すると\nイタズラ機能が解放されます
option.pushNotificationContentTitle.businessFinish,営業完了通知,Job Complete Notice
option.pushNotificationContentTitle.recoveredFesTicket,フェス参加権回復通知,Fes Point Full Notice
option.pushNotificationContentTitle.recoveredStamina,スタミナ回復通知,Stamina Full Notice
option.pushNotificationDescription,プラットフォームでの通知設定がブロックされている場合、オプション内での\nプッシュ通知がONであっても通知は送られません\nSafariおよびiOSブラウザではプッシュ通知は送られません,プラットフォームでの通知設定がブロックされている場合、オプション内での\nプッシュ通知がONであっても通知は送られません\nSafariおよびiOSブラウザではプッシュ通知は送られません
idolDetail.fromGashaNoticeWithIdolRoad,最大特訓時、アイドルロード未進行の状態を表示しています。,"When fully evolved, Idol Road's unprogressed state will be displayed."
item.limitNumSimple,最大所持数:,Max Amount:
item.evolutionNotice,アイドルや他の特訓はづきさんと一緒に使うことはできません,Cannot be used with other idols or evolution Hazukis.
item.evolutionNotice2,すでに1回以上特訓しているアイドルに使用した場合\n余剰分の特訓回数は消失します,"If used on an idol who has already evolved once or more,\nthe excess evolutions will be lost."
item.evolutionNoticeLevel,すでにLv.2以上トレーニングしているアイドルに使用した場合\n余剰分のExpは消失します,"If used on an idol who is already Lv.2 or higher,\nthe excess Exp will be lost."
item.commuReleaseItem.imageCharacterSelectTitle,対象アイドル選択,Select Idol
item.commuReleaseItem.giveItemToCharacterConfirmation,%{characterName}に\n以下のアイテムを使用しますか？,Give this item to\n%{characterName}?
item.commuReleaseItem.commuReleasedTitle,コミュ解放,Commu Unlocked
present.valentine.title,バレンタインプレゼント受け取り,Valentine Present Received
present.valentine.message,%{firstName}から\nバレンタインプレゼントを受け取りました,Received a Valentine's gift from\n%{firstName}
idolRoad.needsProduceEnd.title,アイドルロード進行不可,Can't Advance Idol Road
idolRoad.needsProduceEnd.message1,%{idolName}は\n現在プロデュース中のため\nアイドルロードを進行する事ができません,%{idolName}\nis currently being Produced.\nCan't progress on Idol Road.
idolRoad.needsProduceEnd.message2,プロデュースを完了するか\nプロデュースを終了してください,Please end the Produce run\nor complete it.
idolRoad.cantReceive.title,アイテム所持上限,Item Cap
idolRoad.cantReceive.message,獲得アイテムが所持上限を超えているため\nアイドルロードを進行する事ができません,Unable to progress on Idol Road because\nthe number of received items is over the cap.
idolRoad.rewardDetail.rarityUp.name,レアリティ上昇,Rarity Increase
idolRoad.rewardDetail.rarityUp.comment,%{beforeRarityText}プロデュースアイドルのレアリティが%{rarityText}に上昇,%{beforeRarityText} Produce Idol's rarity increased to %{rarityText}
idolRoad.rewardDetail.unlockVoice.name,%{charName}\nホームボイス追加,%{charName}'s\nHome Voice line
idolRoad.rewardDetail.unlockVoice.comment,%{voiceName}を追加,%{voiceName} obtained
idolRoad.rewardDetail.evolutionStage.name,特訓数＋1,Evolve +1
idolRoad.rewardDetail.evolutionStage.comment,%{rarityText}プロデュースアイドルの特訓数を＋1,%{rarityText} Produce Idol evolution increased by 1
idolRoad.rewardDetail.trustUp.name,%{charName}の\n信頼度Lv.上限＋%{num},%{charName}'s\nTrust Level cap increased by +%{num}
