title,trans
智代子へのプレゼント・シュークリーム＋♥,Gift for Chiyoko・Cream Puffs＋♥
いちご大福,Strawberry Daifuku
智代子へのプレゼント・いちご大福,Gift for Chiyoko・Strawberry Daifuku
智代子へのプレゼント・いちご大福＋♥,Gift for Chiyoko・Strawberry Daifuku＋♥
デパ地下スイーツ,Department Store Sweets
智代子へのプレゼント・デパ地下スイーツ,Gift for Chiyoko・Department Store Sweets
智代子へのプレゼント・デパ地下スイーツ＋♥,Gift for Chiyoko・Department Store Sweets＋♥
いちご味のチョコレート,Strawberry-flavored Chocolate
智代子へのプレゼント・いちご味のチョコレート,Gift for Chiyoko・Strawberry-flavored Chocolate
智代子へのプレゼント・いちご味のチョコレート＋♥,Gift for Chiyoko・Strawberry-flavored Chocolate＋♥
ティーショコラショー,Tea Chocolate Show
智代子へのプレゼント・ティーショコラショー,Gift for Chiyoko・Tea Chocolate Show
智代子へのプレゼント・ティーショコラショー＋♥,Gift for Chiyoko・Tea Chocolate Show＋♥
チョコレート,Chocolate
智代子へのプレゼント・チョコレート,Gift for Chiyoko・Chocolate
智代子へのプレゼント・チョコレート＋♥,Gift for Chiyoko・Chocolate＋♥
デリシャス♡ホリデイ,Delicious♡Holiday
リトル♡フォルテシモ,Little♡Fortissimo
ハッピー♡チョコレート,Happy♡Chocolate
息を合わせたらせーのでスタート,"Match Our Steps, Ready Set and Start"
残さず　たいらげます,"Eat It All Up, Leave Nothing Behind"
一番,Number One
踏み切る、足りない100％ ,"Take The Plunge, Insufficient 100%"
スポットライトが呼ぶ,The Spotlight Calls
普通の女子高生？,Regular high school girl?
待ってるだけじゃダメ,I can't just wait
私について,About me
何度だってリピート,Repeat Over & Over
ハローハロー、始めましょう！,"Hello Hello, Commence!"
ささやかだけど最初から,"Modest, but from the start"
彼女は知らない天性の、,"She doesn't know it's innate of her,"
バッドガール・ミーツ……,Bad Girl Meets...
ここから、アタシらしく,"From here on, like myself"
輝きの可能性,Shining possibility
いちばん最初の気持ち,The feeling at the very start
きっと飛び立つから,Because I will take off
ここで、アタシらしく,"Here, like myself"
無駄じゃない、無駄にしない,"Not a waste, I won't waste it"
アイドル・ヒトリゴト,Idol Thinking Out Loud
アタシたちらしく,Like ourselves
【’19Xmas】ホリデーポップコーン,[19Xmas] Holiday Popcorn
【’19Xmas】ニット帽,[19Xmas] Knitted Hat
【’19Xmas】ライオンのクッション,[19Xmas] Lion Cushion
【’19Xmas】樹里・ボールペン,[19Xmas] Juri's Ballpoint Pen
【西城 樹里】2020バレンタインデー,[Juri] 2020 Valentine's Day
【’25VD】樹里・カフェの優待券,['25VD] Juri's Cafe Coupons
【'25VD】西城樹里とのひととき,['25VD] A Moment with Juri
飴,Candy
樹里へのプレゼント・飴,Gift for Juri・Candy
樹里へのプレゼント・飴＋♥,Gift for Juri・Candy＋♥
やわらかいクッション,Soft Cushion
樹里へのプレゼント・やわらかいクッション,Gift for Juri・Soft Cushion
樹里へのプレゼント・やわらかいクッション＋♥,Gift for Juri・Soft Cushion＋♥
木箱香るザッハトルテ,Sachertorte
樹里へのプレゼント・木箱香るザッハトルテ,Gift for Juri・Sachertorte
樹里へのプレゼント・木箱香るザッハトルテ＋♥,Gift for Juri・Sachertorte＋♥
メッセージ付きお菓子,Sweets with Messages
樹里へのプレゼント・メッセージ付きお菓子,Gift for Juri・Sweets with Messages
樹里へのプレゼント・メッセージ付きお菓子＋♥,Gift for Juri・Sweets with Messages＋♥
ココアとクッキー,Hot Cocoa and Cookies
樹里へのプレゼント・ココアとクッキー,Gift for Juri・Hot Cocoa and Cookies
樹里へのプレゼント・ココアとクッキー＋♥,Gift for Juri・Hot Cocoa and Cookies＋♥
野菜ジュース,Vegetable Juice
樹里へのプレゼント・野菜ジュース,Gift for Juri・Vegetable Juice
樹里へのプレゼント・野菜ジュース＋♥,Gift for Juri・Vegetable Juice＋♥
キューティー・バッドガール？,Cutie Bad Girl?
マイ・スタイル,My Style
サムデイ・マイ・ハート……,Someday My Heart...
一番簡単な魔法,The simplest magic
習慣という呪文,The spell of habit
蒸気に隠した言葉,Words hidden in the steam
ふたりのサンセット,Sunset for two
意地っ張りyou&me,Stubborn you&me
横一列・たどり着いた先の景色,Side by side - The view we've arrived at
ジョギングのち雨宿り,Post-Jog Rain Cover
雨宿りのちびしょ濡れ,Soaked Post-Rain
運命の出会い,A Fated Meeting
アイドル優等生,Honors Idol Student
見えない心,Unseen Heart
見つめる先に,Gazing Ahead
揺れる瞳,Wavering Eyes
ゆめな忘れそ,ゆめな忘れそ
漕ぎいでな,漕ぎいでな
世界,The World
ゆかなこのそら,ゆかなこのそら
【’19Xmas】なんでも券,[19Xmas] Ticket for Anything
【’19Xmas】お香,[19Xmas] Incense
【’19Xmas】俺の歌,[19Xmas] My Song
【’19Xmas】凛世・カメのマスコット,[19Xmas] Rinze's Turtle Mascot
【杜野 凛世】2020バレンタインデー,[Rinze] 2020 Valentine's Day
【’25VD】凛世・ハート型のマカロン,['25VD] Rinze's Heart-shaped Macaron
【'25VD】杜野凛世とのひととき,['25VD] A Moment with Rinze
水族館のチケット,Aquarium Ticket
凛世へのプレゼント・水族館のチケット,Gift for Rinze・Aquarium Ticket
凛世へのプレゼント・水族館のチケット＋♥,Gift for Rinze・Aquarium Ticket＋♥
食事,Meal
凛世へのプレゼント・食事,Gift for Rinze・Meal
凛世へのプレゼント・食事＋♥,Gift for Rinze・Meal＋♥
チョコレート,Chocolate
凛世へのプレゼント・チョコレート,Gift for Rinze・Chocolate
凛世へのプレゼント・チョコレート＋♥,Gift for Rinze・Chocolate＋♥
フォンダンショコラ,Chocolate Fondant
凛世へのプレゼント・フォンダンショコラ,Gift for Rinze・Chocolate Fondant
凛世へのプレゼント・フォンダンショコラ＋♥,Gift for Rinze・Chocolate Fondant＋♥
クッキーアソート,Cookie Assortment
凛世へのプレゼント・クッキーアソート,Gift for Rinze・Cookie Assortment
凛世へのプレゼント・クッキーアソート＋♥,Gift for Rinze・Cookie Assortment＋♥
丸いクッキー,Round Cookies
凛世へのプレゼント・丸いクッキー,Gift for Rinze・Round Cookies
凛世へのプレゼント・丸いクッキー＋♥,Gift for Rinze・Round Cookies＋♥
想いぬれど,"I thought so, but"
雨宿り,Taking shelter from the rain
これからのふたり,The two from now on
解釈しませう,Let us interpret
まみ伏せればきらきらと,Sparkling downcast eyes
お宝でございます ,There is a treasure
メンマでございます,There is a bamboo shoot
そういう場所でございます,There is that kind of place
わるい時間・上,Bad moment - First half
わるい時間・下,Bad moment - Second half
私の流儀,My Way
夢のために,For My Dream
迷う心,Wavering Heart
私は私だから,Because I Am Me
スポットライト,Spotlight
photosynthesis,photosynthesis
ファンの支え,The Fan's Support
あなたとなら絶対に,If I Am With You
私の色,My Color
【’19Xmas】紅茶,[19Xmas] Black Tea
【’19Xmas】プロテイン,[19Xmas] Protein
【’19Xmas】カトレアのおやつ,[19Xmas] Cattleya's Snack
【’19Xmas】夏葉・キーケース,[19Xmas] Natsuha's Keycase
【有栖川 夏葉】2020バレンタインデー,[Natsuha] 2020 Valentine's Day
【’25VD】夏葉・思いのこもったチョコ,['25VD] Natsuha's Thoughtful Chocolates
【'25VD】有栖川夏葉とのひととき,['25VD] A Moment with Natsuha
マカロン,Macaron
夏葉へのプレゼント・マカロン,Gift for Natsuha・Macaron
夏葉へのプレゼント・マカロン＋♥,Gift for Natsuha・Macaron＋♥
クッキー,Cookies
夏葉へのプレゼント・クッキー,Gift for Natsuha・Cookies
夏葉へのプレゼント・クッキー＋♥,Gift for Natsuha・Cookies＋♥
ショコラノワール,Chocolat Noir
夏葉へのプレゼント・ショコラノワール,Gift for Natsuha・Chocolat Noir
夏葉へのプレゼント・ショコラノワール＋♥,Gift for Natsuha・Chocolat Noir＋♥
紅茶のマドレーヌ,Tea Madeleines
夏葉へのプレゼント・紅茶のマドレーヌ,Gift for Natsuha・Tea Madeleines
夏葉へのプレゼント・紅茶のマドレーヌ＋♥,Gift for Natsuha・Tea Madeleines＋♥
桜味の紅茶,Sakura-flavored Black Tea
夏葉へのプレゼント・桜味の紅茶,Gift for Natsuha・Sakura-flavored Black Tea
夏葉へのプレゼント・桜味の紅茶＋♥,Gift for Natsuha・Sakura-flavored Black Tea＋♥
シュークリーム,Cream Puffs
夏葉へのプレゼント・シュークリーム,Gift for Natsuha・Cream Puffs
夏葉へのプレゼント・シュークリーム＋♥,Gift for Natsuha・Cream Puffs＋♥
一石二鳥,Killing two birds with one stone
息抜きショッピング,Shopping relaxation
さらなる高みへ,To the next level
イマジネーション！,Imagination!
煌めきの魔法,A Twinkle of Magic
朝を駆け抜けて,Running Through The Morning
15時のアラカルト,"3 O'Clock, À La Carte"
Over The Rainbow,Over The Rainbow
仲良しの笑顔,Buddy Smile
みんな同じ,We're All The Same
笑顔の輝き,A smile's radiance
甘奈の資質,Amana's nature
ジェミニ,Gemini
不安な時期,Uneasy time
growing sweet,growing sweet
Happily ever after,Happily ever after
無理をしてでも,Even if I have to overdo it
一等星の体温,Warmth of the first-magnitude star
Go to the future A,Go to the future A
【’19Xmas】大きいクリスマスケーキ,[19Xmas] Large Christmas Cake
【’19Xmas】水族館のペアチケット,[19Xmas] Aquarium Pair Ticket
【’19Xmas】髪飾り,[19Xmas] Hair Ornaments
【’19Xmas】甘奈・ネクタイ,[19Xmas] Amana's Tie
【大崎 甘奈】2020バレンタインデー,[Amana] 2020 Valentine's Day
【’25VD】甘奈・チョコレートパフェ,['25VD] Amana's Chocolate Parfait
【'25VD】大崎甘奈とのひととき,['25VD] A Moment with Amana
手作りチョコ,Handmade Chocolate
甘奈へのプレゼント・手作りチョコ,Gift for Amana・Handmade Chocolate
甘奈へのプレゼント・手作りチョコ＋♥,Gift for Amana・Handmade Chocolate＋♥
ファウンテンマシーン,Fountain Machine
甘奈へのプレゼント・ファウンテンマシーン,Gift for Amana・Fountain Machine
甘奈へのプレゼント・ファウンテンマシーン＋♥,Gift for Amana・Fountain Machine＋♥
髪飾り,Hair Accessories
甘奈へのプレゼント・髪飾り,Gift for Amana・Hair Accessories
甘奈へのプレゼント・髪飾り＋♥,Gift for Amana・Hair Accessories＋♥
おしゃれなエプロン,Stylish Apron
甘奈へのプレゼント・おしゃれなエプロン,Gift for Amana・Stylish Apron
甘奈へのプレゼント・おしゃれなエプロン＋♥,Gift for Amana・Stylish Apron＋♥
お菓子の詰め合わせ,Assorted Sweets
甘奈へのプレゼント・お菓子の詰め合わせ,Gift for Amana・Assorted Sweets
甘奈へのプレゼント・お菓子の詰め合わせ＋♥,Gift for Amana・Assorted Sweets＋♥
装飾入りの手作りクッキー,Decorated Homemade Cookies
甘奈へのプレゼント・装飾入りの手作りクッキー,Gift for Amana・Decorated Homemade Cookies
甘奈へのプレゼント・装飾入りの手作りクッキー＋♥,Gift for Amana・Decorated Homemade Cookies＋♥
あーあ……雨……,Aww... Rain...
あ！　雨☆,Ah! Rain☆
安心してね……！,Don't worry....!
寂しく……,A little sad...
どこがいいかな☆,I Wonder Where☆
仲良しの『いただきます』,"A Friendly ""Thanks"""
それぞれの関係,Individual Relationships
夢中になっちゃった！,In a craze!
あったかいな……,So warm...
ハッピー、借りるね,I'll borrow some happiness
２回目,The Second Time
アマイ永遠,A Sweet Eternity
ポーチできたの☆,Pouch Complete☆
おやごころ,Parental Love
どこもおんなじ,It's all the same
眠る可能性,Chance of Sleeping
最初の一歩,The First Step
だけど、それでも,"But, Even Then"
誰でもない甜花を,Tenka isn't Anyone
月はやがて輝いて,The Moon Will Eventually Shine
三歩進んで、眠り姫,"Three Steps Forward, Sleeping Beauty"
だから、一緒にいてほしい,"And so, I want to be together"
お月様、きらり,The Moon... Shining
数歩さがって、眠り姫,"Several steps back, Sleeping Beauty"
もう頑張ってる,Already doing my best
だから　ちょっと,So　just a little
ちょっと　思ってた,Just a little　or so I thought
思ってた　けどね,Or so I thought　but
けどね　そうだったんだ,But　it's true
頑張れ、頑張れ！,Do your best!
旧・甜花の完璧な一日,Before: Tenka's Perfect Day
周回遅れ,Falling Behind
約束？,You Promise?
なーちゃんはアイドル、甜花も,"Naa-chan's An Idol, Tenka Too"
明日から頑張るから,"I'll Work Hard Starting Tomorrow, So..."
ベターな日々は続く,The Better Days Will Continue
【’19Xmas】デビ太郎ぬいぐるみ,[19Xmas] Debitaro Plushie
【’19Xmas】アイマスク,[19Xmas] Eyemask
【’19Xmas】ゲームソフト,[19Xmas] Video Game
【’19Xmas】甜花・ゲームコントローラー,[19Xmas] Tenka's Game Controller
【大崎 甜花】2020バレンタインデー,[Tenka] 2020 Valentine's Day
【’25VD】甜花・デビ太郎だったクッキー,['25VD] Tenka's Previously-Debitaro Cookies
【'25VD】大崎甜花とのひととき,['25VD] A Moment with Tenka
駄菓子詰め合わせ,Assorted Sweets
甜花へのプレゼント・駄菓子詰め合わせ,Gift for Tenka・Assorted Sweets
甜花へのプレゼント・駄菓子詰め合わせ＋♥,Gift for Tenka・Assorted Sweets＋♥
ルームソックス,Room Socks
甜花へのプレゼント・ルームソックス,Gift for Tenka・Room Socks
甜花へのプレゼント・ルームソックス＋♥,Gift for Tenka・Room Socks＋♥
ストラップ付きがま口,Purse with Strap
甜花へのプレゼント・ストラップ付きがま口,Gift for Tenka・Purse with Strap
甜花へのプレゼント・ストラップ付きがま口＋♥,Gift for Tenka・Purse with Strap＋♥
マカロンタワー,Macaron Tower
甜花へのプレゼント・マカロンタワー,Gift for Tenka・Macaron Tower
甜花へのプレゼント・マカロンタワー＋♥,Gift for Tenka・Macaron Tower＋♥
ベビーカステラ,Baby Castella
甜花へのプレゼント・ベビーカステラ,Gift for Tenka・Baby Castella
甜花へのプレゼント・ベビーカステラ＋♥,Gift for Tenka・Baby Castella＋♥
デビ太郎？ぬいぐるみ,Debitaro? Plushie
甜花へのプレゼント・デビ太郎？ぬいぐるみ,Gift for Tenka・Debitaro? Plushie
甜花へのプレゼント・デビ太郎？ぬいぐるみ＋♥,Gift for Tenka・Debitaro? Plushie＋♥
だらだらまったり,Laid Back Leisure
たまにはおでかけ,Going Out Once in a While
一人では行けない場所へ,To somewhere you can't go alone.
スプラッシュ・スマイル！,Splash Smile!
シャッターチャンス、何度でも,"Shutter Chance, As Many Times"
銀盤の止まり木,The Bench at the Ice Rink
きがかり→ぬくもり→おもいやり,Anxiety→Warmth→Consideration
寒い日ぬくぬく、だらだら日和,"Cold Day Snuggle, Perfect for Lazing"
いつも通りの色彩,The same color as always
茜色、染まる海,"The ocean, dyed in crimson"
桃色、染まる頬,"Cheeks, dyed in pink"
待ってて,Just You Wait
待ってた,Have Waited
甜花の完璧な１日,Tenka's Flawless Day
連載第１回『ゲーム』,"First Volume: ""Games"""
連載第２回『ソフトクリーム』,"Second Volume: ""Ice Cream"""
連載第５回『デビ太郎』,"Fifth Volume: ""Debitaro"""
連載最終回『ふたご座』,"Final Volume: ""Gemini"""
番外編『and more...』,"Bonus Volume: ""and more..."""
スター・トゥナイト,Star Tonight
♡・ネムレナイト,♡ Sleepless Night
グッド・ナイト,Good Night
パーティ・ナイト,Party Night
ミッドナイト・♡,Mid-Night ♡
バレンタイン・プロローグ,Valentine's Prologue
チョコレート物語,Chocolate Story
……に、胸キュン。,...Heart throbbing here.
セント・バレンタイン・デー,Saint Valentine's Day
バレンタイン・エピローグ,Valentine's Epilogue
sleep in until starting,sleep in until starting
花・満,Blooming・Satisfaction
とらいとらいと,Try and succeed
SLEEP SLEEPLESS,SLEEP SLEEPLESS
心を満たすちいさな花,Small flowers to fill the heart
ログインより,Instead of Logging-In
あやまるよりなんとか,Something Instead of Apology
花より団子より,Flowers Instead of Dango
知ってるかもしれないより,Instead of Him Knowing
わかんないところに,In Unknown Places
てん,Extend
in the てーにんぐるーむ,in the Ten-ing Room
テンカ・エフェクト,Tenka Effect
てんとてん,Tensions
せん,Precedent
大人になる,Growing Up
これからの,From Now On
いなくならない,Won't Leave
いつかの,That Day
夏が来る,Summer Will Come
24hじゃ足りなくて,24 Hours Isn't Enough
甜der Aquarium,Ten-der Aquarium
白クジラの夢をみた,Dreaming of a White Whale
大切の数だけ等分に,Equally Dividing the Precious Amount
広がる世界,Broadening Horizons
幸せのための小さな努力,A Little Hard Work for Happiness
SHOT！,SHOT!
世界にひとつの……,Only One in the World...
あくまのように,Like a demon
あなたのように,Like you
ちいさなブックカフェ,A Small Book Cafe
ギブミー・ごほうび！,Give Me a Reward!
ファッショナブル・チャレンジ,Fashionable Challenge
試着室ファッションショー,Dressing Room Fashion Show
ほっと一息、甜花の気持ち,"A Sigh of Relief, Tenka's Feelings"
甜花的ビフォーアフター,A Tenka-like Before and After
まどろみの昼下がり,Slumbering Late Afternoon
メイクアップはお任せで,Leave the Makeup to Me
不器用な努力,A Clumsy Effort
『お疲れ様』,"""Good job"""
重なる願い、３人分。,"Joined Wishes, Three Parts."
甘い幸せ、３人前。,"Sweet Happiness, Before Them."
扇に梅、花車の蝶、重ね熨斗と桜,"Plum and Fan, Delicate Butterfly, Noshi and Sakura"
とおくでひかるおほしさま,Twinkling Stars Far Away
くらくてみえないおほしさま,So Dark You Can't See the Stars
きらきらひかるおそらのほしよ,"Oh, Twinkling Stars of the Night"
オデカケ・シマショウ,Let's go out
アメアメ・フレフレ,Rain Rain Go Away
ワタシ・タチハ・ドコマデモ,We Can Go Anywhere
てんかちゃんのお星さま,Tenka-chan's Stars
天高く,Skies clear
罪って感じで,Feeling naughty
キューン,Kyuun
ありすがわさん,Arisugawa-san
いちかわさん,Ichikawa-san
それなりに急いでる,Still hurrying quite a bit
なんかもっと頑張りたい,Kinda wanna work harder
テロップにしてください,Please put a subtitle over it
自分らしさって？,"What's ""Tenka-ness""?"
好き、大好き,"Likes, and Loves"
ジャケ買いはやめよう,Stop Judging by the Cover
それほどでもある？,Not that good?
Someday my…,Someday my...
真綿の夢と目覚め,Silken Dream Awoken
My only デビ太郎,My own Debitaro
頭のなかのストーリー,Story Inside our Heads
思い出は溶けないうちに,Before our Memories Dissolve
めでたしめでたし,Happily Ever After
たくさん浴びてください,Please Bask in My Power
頼れるお姉さん,A Reliable Older Sister
優しいひと,A kind person
新人のお仕事,The newcomer's job
これからのこと,The things that will come
千雪の決意,Chiyuki's Determination
そして私は,And I
夢の中へ,Into the dream
感謝してます,Forever grateful
やりたいこと、全部,Everything that you wanted to do
マロウのハーブティー,Mallow Herbal Tea
ハンマープライス！,Hammer Price!
月へ出かけたキャラバンの鈴,The Caravan Bell That Went to The Moon
千雪って人が,A Person Named Chiyuki
意地があるの,A Strong Pride
１円ベイビー,1 Yen Baby
C．K,C.K.
moratorium（もう少しだけ）,moratorium (a little longer)
challenge（したいけど、）,"challenge (i want to, but)"
stopper（ゆらゆら、）,stopper (shaken)
hedgehog（側に来て、）,hedgehog (to my side)
shadow（それもまた、）,shadow (such too)
someday（過去も未来も）,someday (past and future)
【’19Xmas】レトルトの中華丼,[19Xmas] Retorted Chukadon
【’19Xmas】ハーバリウム,[19Xmas] Herbarium
【’19Xmas】クマのぬいぐるみ,[19Xmas] Bear Plushie
【’19Xmas】千雪・ハンカチ,[19Xmas] Chiyuki's Handkerchief
【桑山 千雪】2020バレンタインデー,[Chiyuki] 2020 Valentine's Day
【’25VD】千雪・お洒に合うチョコ,['25VD] Chiyuki's Fashionable Chocolates
【'25VD】桑山千雪とのひととき,['25VD] A Moment with Chiyuki
コーヒーギフトカード,Coffee Gift Card
千雪へのプレゼント・コーヒーギフトカード,Gift for Chiyuki・Coffee Gift Card
千雪へのプレゼント・コーヒーギフトカード＋♥,Gift for Chiyuki・Coffee Gift Card＋♥
駅前スーパーのクッキー,Supermarket Cookies
千雪へのプレゼント・駅前スーパーのクッキー,Gift for Chiyuki・Supermarket Cookies
千雪へのプレゼント・駅前スーパーのクッキー＋♥,Gift for Chiyuki・Supermarket Cookies＋♥
白巾着のマシュマロ,白巾着のマシュマロ
千雪へのプレゼント・白巾着のマシュマロ,千雪へのプレゼント・白巾着のマシュマロ
千雪へのプレゼント・白巾着のマシュマロ＋♥,千雪へのプレゼント・白巾着のマシュマロ＋♥
ボンボンショコラ,Bonbon Chocolate
千雪へのプレゼント・ボンボンショコラ,Gift for Chiyuki・Bonbon Chocolate
千雪へのプレゼント・ボンボンショコラ＋♥,Gift for Chiyuki・Bonbon Chocolate＋♥
コーヒーリキュール,Coffee Liqueur
千雪へのプレゼント・コーヒーリキュール,Gift for Chiyuki・Coffee Liqueur
千雪へのプレゼント・コーヒーリキュール＋♥,Gift for Chiyuki・Coffee Liqueur＋♥
大人気店のケーキ？,Cake from Popular Store?
千雪へのプレゼント・大人気店のケーキ？,Gift for Chiyuki・Cake from Popular Store?
千雪へのプレゼント・大人気店のケーキ？＋♥,Gift for Chiyuki・Cake from Popular Store?＋♥
マイ・フェイバリット・シングス,My Favorite Things
プライベート・タイム,Private Time
幸せはコーヒーの形をして,Happiness is in the Form of Coffee
A MEMORY～ある夏の出来事,A MEMORY～What Happened That Summer
SOMETHING NEW,SOMETHING NEW
月明りの下で眠る人,月明りの下で眠る人
最高だぜー,That was amazingー
冷麦、えいっ,"Hiyamugi, eii"
雨降りア・ラ・モード,Rain à la mode
たとえば花の名前を知るように,"For example, to know a flower's name"
ロマンチック・ジャーニー,Romantic Journey
15 minutes/two of us,15 minutes/two of us
そっと　きっと…… ,"Gently, Surely..."
a little thing,a little thing
ピリリ・15センチメンタル       ,"Tingling, 15 Sentimental"
いつかの憧れから連れ出して,Take me away from my longing
シークレット・ガーデン,Secret Garden
金曜日には幸せの花を,Flowers of Happiness on a Friday
What should I say?,What should I say?
コ・コ・ロ・グラデーション,Heart Gradation
もしも夕日が綺麗だったら,If the sunset is this beautiful
I say,I say
思い出の色,The colors of memories
（筆談）,(Passing Notes)
春なんだなぁ,It truly is spring
ビッグマウス×２,Big Mouth x2
お返事なんてそんな,A reply like that
走り出したいの、３月,"I wanna start running, in March"
紅葉ひとひら,A Flake of Autumn Foliage
染める,Dyed
染まっちゃった,To Have Been Dyed
紅葉ひとかけ,A Fragment of Autumn Foliage
構図,Composition
アイスクリーム（シングル）,Ice Cream (Single)
あなたと紡ぐ物語,A Story Created with You
テイク・オフ,Take Off
光射す方へ,Towards the Light
アイスクリーム（ダブル）,Ice Cream (Double)
『桑山千雪のお気に入り』,"""Chiyuki Kuwayama's Favorites"""
マインド・ザ・ギャップ,Mind the Gap
あの日の憧れを捕まえて,Latch Onto the Longings of That Day
光も影も抱きしめたいの,Embrace Both Light and Shadow
『お気に入りの桑山千雪』,"""Our Favorite Chiyuki Kuwayama"""
桑山ハウスに冬がきました,Winter has arrived at Kuwayama House
衝動的お鍋,Impulsive Hotpot
そっと触れて、柔らかい熱,A soft warmth from a gentle touch
空飛ぶ波は、今宵の揺りかご,The airborne waves are tonight's cradle
食べちゃるから、全部,I'm gonna eat it all
卒業,Graduation
ひっくり返した生きていく,Continuing to Live Upside-Down
【分析】よりよい配信のやり方,(Analysis) How to make a good livestream
【番外】よみ聞かせの時間です♪,(Extra) Storytime♪
未知への高揚,Lifting into the Unknown
刹那への違和感、芽生え,刹那への違和感、芽生え
見えぬ道筋,The Invisible Path
その心、飽くことなし,Never tired of that heart
昇華する探究,Finding the Best
空の青さを知る者よ,空の青さを知る者よ
悔しさを抱いてこそ,悔しさを抱いてこそ
未だ見ぬものへ、共に,未だ見ぬものへ、共に
やがて、海の広さを知る者よ,やがて、海の広さを知る者よ
未知との遭遇,Encounter With the Unknown
フライング・ガール,Flying Girl
椅子と机の惑星,The Planet of Desks and Chairs
ここは、四角い空,Here is a Square Sky
まずは、地図を広げて,"First, Open Up the Map"
どうか、淵のない水のように,May You Be Like Water That Never Stills
【’19Xmas】観覧車に乗る,[19Xmas] Ferris Wheel Ticket
【’19Xmas】普通のケーキ,[19Xmas] Ordinary Cake
【’19Xmas】世界の謎100選,[19Xmas] 100 World Mysteries
【’19Xmas】あさひ・強力磁石,[19Xmas] Asahi's Strong Magnet
【芹沢 あさひ】2020バレンタインデー,[Asahi] 2020 Valentine's Day
【’25VD】あさひ・チョコチップスコーン,['25VD] Asahi's Chocolate Chip Scones
【'25VD】芹沢あさひとのひととき,['25VD] A Moment with Asahi
たくさんのお菓子,Lots of Sweets
あさひへのプレゼント・たくさんのお菓子,Gift for Asahi・Lots of Sweets
あさひへのプレゼント・たくさんのお菓子＋♥,Gift for Asahi・Lots of Sweets＋♥
カブトムシ型チョコ,Beetle-shaped Chocolate
あさひへのプレゼント・カブトムシ型チョコ,Gift for Asahi・Beetle-shaped Chocolate
あさひへのプレゼント・カブトムシ型チョコ＋♥,Gift for Asahi・Beetle-shaped Chocolate＋♥
カラフルなギモーヴ,Colorful Guimauve
あさひへのプレゼント・カラフルなギモーヴ,Gift for Asahi・Colorful Guimauve
あさひへのプレゼント・カラフルなギモーヴ＋♥,Gift for Asahi・Colorful Guimauve＋♥
リストバンド,Wristband
あさひへのプレゼント・リストバンド,Gift for Asahi・Wristband
あさひへのプレゼント・リストバンド＋♥,Gift for Asahi・Wristband＋♥
お菓子の家キット,Gingerbread House Kit
あさひへのプレゼント・お菓子の家キット,Gift for Asahi・Gingerbread House Kit
あさひへのプレゼント・お菓子の家キット＋♥,Gift for Asahi・Gingerbread House Kit＋♥
お菓子のつまったポーチ,Pouch full of Sweets
あさひへのプレゼント・お菓子のつまったポーチ,Gift for Asahi・Pouch full of Sweets
あさひへのプレゼント・お菓子のつまったポーチ＋♥,Gift for Asahi・Pouch full of Sweets＋♥
あさひ流、街の歩き方,"Asahi school, way of streetwalk"
あなたにはどう見えた？,How does it look to you?
そこにいてくれるからこそ,Because you're there
ふとした場所にも興味の種,ふとした場所にも興味の種
眠りて叶いし,眠りて叶いし
他人の読み物、気になるもの,"Stuff others read, stuff to be interested in"
説明するは難し,Hard to explain
その手に掴むは,To grab in that hand
舞台は自ら助くるものを助く,The stage helps those who help themselves
わたしの目、貴方の目,"My eyes, your eyes"
大事なのは飛距離,What's important is the flight
欲しかったのはそっち,I wanted that one
見たかったのは何？,What did they want to see?
動くのはいつ？,When will it move?
効果的だったのはどれ？,Which one worked?
目に入ったら止まらない,No stopping once it's seen
真似すべきこと、そうでないこと,"What to imitate, or not"
面白さのみで選ぶは……,Choosing just for the gag is...
波待ちの水面にて,Waiting for waves on the water
草むらをかきわけて,Making way though the grass
ステージには何が？,What do you mean on stage?
クリスマス、どう過ごします？,How are you spending Christmas?
『いい顔』探求,"Investigation: ""A Nice Face"""
ポストまでは何メートル？,How many meters to the postbox?
プリクエル,Prequel
第0.5話,Episode 0.5
第1.5話,Episode 1.5
ハートフル・フェアリーテイル,Heartful Fairytale
ワンダフルドリーミィデイズ,Wonderful Dreamy Days
台本通りの茶番劇,The farced script
諦めたくないものはひとつだけ,The only thing I will never give up on
さあ、幕を上げましょう！,"Now, let's raise the curtains!"
ウェイト・イン・ザ・ウイング,Wait in the Wings
見えなかった景色,The scenery I never saw
まるで陳腐なハッピーエンド！,Like a stale happy ending!
喫茶 舞台裏で会いましょう,"Behind the scenes, at a cafe"
【’19Xmas】アニメマスコット(地方限定),[19Xmas] Anime Mascot (Locals Only)
【’19Xmas】仕事の企画書,[19Xmas] Job Plan Form
【’19Xmas】冬優子・ダサセーター……？,[19Xmas] Fuyuko's Lame Sweater...?
【黛 冬優子】2020バレンタインデー,[Fuyuko] 2020 Valentine's Day
【’25VD】冬優子・なかなか溶けないアメ,['25VD] Fuyuko's Candy that doesn't melt easily
【'25VD】黛冬優子とのひととき,['25VD] A Moment with Fuyuko
エクレア,Eclair
冬優子へのプレゼント・エクレア,Gift for Fuyuko・Eclair
冬優子へのプレゼント・エクレア＋♥,Gift for Fuyuko・Eclair＋♥
マドレーヌ,Madeleine
冬優子へのプレゼント・マドレーヌ,Gift for Fuyuko・Madeleine
