ja,en
園田智代子の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Chiyoko Sonoda
園田智代子の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Chiyoko Sonoda
園田智代子の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Chiyoko Sonoda
園田智代子の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Chiyoko Sonoda
園田智代子をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Chiyoko Sonoda as a Center, play Grade Fes Level 2 or above"
園田智代子をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Chiyoko Sonoda as a Center, play Grade Fes Level 2 or above 3 times"
園田智代子をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Chiyoko Sonoda as a Center, play Grade Fes Level 3 or above"
園田智代子を含めた編成で営業を1回しよう,Have Chiyoko Sonoda complete 1 Job
園田智代子を含めた編成で営業を5回しよう,Have Chiyoko Sonoda complete 5 Jobs
園田智代子を含めた編成で営業を10回しよう,Have Chiyoko Sonoda complete 10 Jobs
園田智代子を含めた編成で営業を20回しよう,Have Chiyoko Sonoda complete 20 Jobs
園田智代子をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Chiyoko Sonoda with 400 or more Vocal
園田智代子をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Chiyoko Sonoda with 400 or more Dance
園田智代子をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Chiyoko Sonoda with 400 or more Visual
園田智代子をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Chiyoko Sonoda with 400 or more Mental
園田智代子をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Chiyoko Sonoda
園田智代子をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Chiyoko Sonoda"
園田智代子をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Chiyoko Sonoda"
園田智代子をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Chiyoko Sonoda"
西城樹里をホームユニットに編成しよう,Place Juri Saijo in your home unit
西城樹里を1回プロデュースしよう,Produce Juri Saijo 1 time
西城樹里を2回プロデュースしよう,Produce Juri Saijo 2 times
西城樹里を3回プロデュースしよう,Produce Juri Saijo 3 times
西城樹里を5回プロデュースしよう,Produce Juri Saijo 5 times
西城樹里をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Juri Saijo
西城樹里をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Juri Saijo
西城樹里の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Juri Saijo
西城樹里の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Juri Saijo
西城樹里の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Juri Saijo
西城樹里の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Juri Saijo
西城樹里をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Juri Saijo as a Center, play Grade Fes Level 2 or above"
西城樹里をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Juri Saijo as a Center, play Grade Fes Level 2 or above 3 times"
西城樹里をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Juri Saijo as a Center, play Grade Fes Level 3 or above"
西城樹里を含めた編成で営業を1回しよう,Have Juri Saijo complete 1 Job
西城樹里を含めた編成で営業を5回しよう,Have Juri Saijo complete 5 Jobs
西城樹里を含めた編成で営業を10回しよう,Have Juri Saijo complete 10 Jobs
西城樹里を含めた編成で営業を20回しよう,Have Juri Saijo complete 20 Jobs
西城樹里をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Juri Saijo with 400 or more Vocal
西城樹里をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Juri Saijo with 400 or more Dance
西城樹里をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Juri Saijo with 400 or more Visual
西城樹里をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Juri Saijo with 400 or more Mental
西城樹里をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Juri Saijo
西城樹里をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Juri Saijo"
西城樹里をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Juri Saijo"
西城樹里をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Juri Saijo"
杜野凛世をホームユニットに編成しよう,Place Rinze Morino in your home unit
杜野凛世を1回プロデュースしよう,Produce Rinze Morino 1 time
杜野凛世を2回プロデュースしよう,Produce Rinze Morino 2 times
杜野凛世を3回プロデュースしよう,Produce Rinze Morino 3 times
杜野凛世を5回プロデュースしよう,Produce Rinze Morino 5 times
杜野凛世をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Rinze Morino
杜野凛世をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Rinze Morino
杜野凛世の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Rinze Morino
杜野凛世の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Rinze Morino
杜野凛世の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Rinze Morino
杜野凛世の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Rinze Morino
杜野凛世をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Rinze Morino as a Center, play Grade Fes Level 2 or above"
杜野凛世をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Rinze Morino as a Center, play Grade Fes Level 2 or above 3 times"
杜野凛世をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Rinze Morino as a Center, play Grade Fes Level 3 or above"
杜野凛世を含めた編成で営業を1回しよう,Have Rinze Morino complete 1 Job
杜野凛世を含めた編成で営業を5回しよう,Have Rinze Morino complete 5 Jobs
杜野凛世を含めた編成で営業を10回しよう,Have Rinze Morino complete 10 Jobs
杜野凛世を含めた編成で営業を20回しよう,Have Rinze Morino complete 20 Jobs
杜野凛世をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Rinze Morino with 400 or more Vocal
杜野凛世をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Rinze Morino with 400 or more Dance
杜野凛世をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Rinze Morino with 400 or more Visual
杜野凛世をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Rinze Morino with 400 or more Mental
杜野凛世をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Rinze Morino
杜野凛世をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Rinze Morino"
杜野凛世をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Rinze Morino"
杜野凛世をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Rinze Morino"
有栖川夏葉をホームユニットに編成しよう,Place Natsuha Arisugawa in your home unit
有栖川夏葉を1回プロデュースしよう,Produce Natsuha Arisugawa 1 time
有栖川夏葉を2回プロデュースしよう,Produce Natsuha Arisugawa 2 times
有栖川夏葉を3回プロデュースしよう,Produce Natsuha Arisugawa 3 times
有栖川夏葉を5回プロデュースしよう,Produce Natsuha Arisugawa 5 times
有栖川夏葉をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Natsuha Arisugawa
有栖川夏葉をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Natsuha Arisugawa
有栖川夏葉の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Natsuha Arisugawa
有栖川夏葉の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Natsuha Arisugawa
有栖川夏葉の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Natsuha Arisugawa
有栖川夏葉の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Natsuha Arisugawa
有栖川夏葉をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Natsuha Arisugawa as a Center, play Grade Fes Level 2 or above"
有栖川夏葉をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Natsuha Arisugawa as a Center, play Grade Fes Level 2 or above 3 times"
有栖川夏葉をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Natsuha Arisugawa as a Center, play Grade Fes Level 3 or above"
有栖川夏葉を含めた編成で営業を1回しよう,Have Natsuha Arisugawa complete 1 Job
有栖川夏葉を含めた編成で営業を5回しよう,Have Natsuha Arisugawa complete 5 Jobs
有栖川夏葉を含めた編成で営業を10回しよう,Have Natsuha Arisugawa complete 10 Jobs
有栖川夏葉を含めた編成で営業を20回しよう,Have Natsuha Arisugawa complete 20 Jobs
有栖川夏葉をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Natsuha Arisugawa with 400 or more Vocal
有栖川夏葉をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Natsuha Arisugawa with 400 or more Dance
有栖川夏葉をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Natsuha Arisugawa with 400 or more Visual
有栖川夏葉をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Natsuha Arisugawa with 400 or more Mental
有栖川夏葉をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Natsuha Arisugawa
有栖川夏葉をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Natsuha Arisugawa"
有栖川夏葉をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Natsuha Arisugawa"
有栖川夏葉をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Natsuha Arisugawa"
大崎甘奈をホームユニットに編成しよう,Place Amana Osaki in your home unit
大崎甘奈を1回プロデュースしよう,Produce Amana Osaki 1 time
大崎甘奈を2回プロデュースしよう,Produce Amana Osaki 2 times
大崎甘奈を3回プロデュースしよう,Produce Amana Osaki 3 times
大崎甘奈を5回プロデュースしよう,Produce Amana Osaki 5 times
大崎甘奈をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Amana Osaki
大崎甘奈をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Amana Osaki
大崎甘奈の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Amana Osaki
大崎甘奈の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Amana Osaki
大崎甘奈の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Amana Osaki
大崎甘奈の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Amana Osaki
大崎甘奈をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Amana Osaki as a Center, play Grade Fes Level 2 or above"
大崎甘奈をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Amana Osaki as a Center, play Grade Fes Level 2 or above 3 times"
大崎甘奈をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Amana Osaki as a Center, play Grade Fes Level 3 or above"
大崎甘奈を含めた編成で営業を1回しよう,Have Amana Osaki complete 1 Job
大崎甘奈を含めた編成で営業を5回しよう,Have Amana Osaki complete 5 Jobs
大崎甘奈を含めた編成で営業を10回しよう,Have Amana Osaki complete 10 Jobs
大崎甘奈を含めた編成で営業を20回しよう,Have Amana Osaki complete 20 Jobs
大崎甘奈をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Amana Osaki with 400 or more Vocal
大崎甘奈をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Amana Osaki with 400 or more Dance
大崎甘奈をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Amana Osaki with 400 or more Visual
大崎甘奈をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Amana Osaki with 400 or more Mental
大崎甘奈をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Amana Osaki
大崎甘奈をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Amana Osaki"
大崎甘奈をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Amana Osaki"
大崎甘奈をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Amana Osaki"
大崎甜花をホームユニットに編成しよう,Place Tenka Osaki in your home unit
大崎甜花を1回プロデュースしよう,Produce Tenka Osaki 1 time
大崎甜花を2回プロデュースしよう,Produce Tenka Osaki 2 times
大崎甜花を3回プロデュースしよう,Produce Tenka Osaki 3 times
大崎甜花を5回プロデュースしよう,Produce Tenka Osaki 5 times
大崎甜花をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Tenka Osaki
大崎甜花をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Tenka Osaki
大崎甜花の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Tenka Osaki
大崎甜花の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Tenka Osaki
大崎甜花の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Tenka Osaki
大崎甜花の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Tenka Osaki
大崎甜花をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Tenka Osaki as a Center, play Grade Fes Level 2 or above"
大崎甜花をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Tenka Osaki as a Center, play Grade Fes Level 2 or above 3 times"
大崎甜花をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Tenka Osaki as a Center, play Grade Fes Level 3 or above"
大崎甜花を含めた編成で営業を1回しよう,Have Tenka Osaki complete 1 Job
大崎甜花を含めた編成で営業を5回しよう,Have Tenka Osaki complete 5 Jobs
大崎甜花を含めた編成で営業を10回しよう,Have Tenka Osaki complete 10 Jobs
大崎甜花を含めた編成で営業を20回しよう,Have Tenka Osaki complete 20 Jobs
大崎甜花をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Tenka Osaki with 400 or more Vocal
大崎甜花をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Tenka Osaki with 400 or more Dance
大崎甜花をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Tenka Osaki with 400 or more Visual
大崎甜花をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Tenka Osaki with 400 or more Mental
大崎甜花をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Tenka Osaki
大崎甜花をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Tenka Osaki"
大崎甜花をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Tenka Osaki"
大崎甜花をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Tenka Osaki"
桑山千雪をホームユニットに編成しよう,Place Chiyuki Kuwayama in your home unit
桑山千雪を1回プロデュースしよう,Produce Chiyuki Kuwayama 1 time
桑山千雪を2回プロデュースしよう,Produce Chiyuki Kuwayama 2 times
桑山千雪を3回プロデュースしよう,Produce Chiyuki Kuwayama 3 times
桑山千雪を5回プロデュースしよう,Produce Chiyuki Kuwayama 5 times
桑山千雪をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Chiyuki Kuwayama
桑山千雪をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Chiyuki Kuwayama
桑山千雪の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Chiyuki Kuwayama
桑山千雪の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Chiyuki Kuwayama
桑山千雪の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Chiyuki Kuwayama
桑山千雪の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Chiyuki Kuwayama
桑山千雪をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Chiyuki Kuwayama as a Center, play Grade Fes Level 2 or above"
桑山千雪をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Chiyuki Kuwayama as a Center, play Grade Fes Level 2 or above 3 times"
桑山千雪をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Chiyuki Kuwayama as a Center, play Grade Fes Level 3 or above"
桑山千雪を含めた編成で営業を1回しよう,Have Chiyuki Kuwayama complete 1 Job
桑山千雪を含めた編成で営業を5回しよう,Have Chiyuki Kuwayama complete 5 Jobs
桑山千雪を含めた編成で営業を10回しよう,Have Chiyuki Kuwayama complete 10 Jobs
桑山千雪を含めた編成で営業を20回しよう,Have Chiyuki Kuwayama complete 20 Jobs
桑山千雪をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Chiyuki Kuwayama with 400 or more Vocal
桑山千雪をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Chiyuki Kuwayama with 400 or more Dance
桑山千雪をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Chiyuki Kuwayama with 400 or more Visual
桑山千雪をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Chiyuki Kuwayama with 400 or more Mental
桑山千雪をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Chiyuki Kuwayama
桑山千雪をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Chiyuki Kuwayama"
桑山千雪をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Chiyuki Kuwayama"
桑山千雪をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Chiyuki Kuwayama"
芹沢あさひをホームユニットに編成しよう,Place Asahi Serizawa in your home unit
芹沢あさひを1回プロデュースしよう,Produce Asahi Serizawa 1 time
芹沢あさひを2回プロデュースしよう,Produce Asahi Serizawa 2 times
芹沢あさひを3回プロデュースしよう,Produce Asahi Serizawa 3 times
芹沢あさひを5回プロデュースしよう,Produce Asahi Serizawa 5 times
芹沢あさひをCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Asahi Serizawa
芹沢あさひをBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Asahi Serizawa
芹沢あさひの思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Asahi Serizawa
芹沢あさひの思い出レベルを5にしよう,Reach Memory Appeal level 5 with Asahi Serizawa
芹沢あさひの信頼度を３以上にしよう,Reach Trust Level 3 or higher with Asahi Serizawa
芹沢あさひの信頼度を５以上にしよう,Reach Trust Level 5 or higher with Asahi Serizawa
芹沢あさひをセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Asahi Serizawa as a Center, play Grade Fes Level 2 or above"
芹沢あさひをセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Asahi Serizawa as a Center, play Grade Fes Level 2 or above 3 times"
芹沢あさひをセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Asahi Serizawa as a Center, play Grade Fes Level 3 or above"
芹沢あさひを含めた編成で営業を1回しよう,Have Asahi Serizawa complete 1 Job
芹沢あさひを含めた編成で営業を5回しよう,Have Asahi Serizawa complete 5 Jobs
芹沢あさひを含めた編成で営業を10回しよう,Have Asahi Serizawa complete 10 Jobs
芹沢あさひを含めた編成で営業を20回しよう,Have Asahi Serizawa complete 20 Jobs
芹沢あさひをプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Asahi Serizawa with 400 or more Vocal
芹沢あさひをプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Asahi Serizawa with 400 or more Dance
芹沢あさひをプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Asahi Serizawa with 400 or more Visual
芹沢あさひをプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Asahi Serizawa with 400 or more Mental
芹沢あさひをプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Asahi Serizawa
芹沢あさひをプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Asahi Serizawa"
芹沢あさひをプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Asahi Serizawa"
芹沢あさひをプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Asahi Serizawa"
黛冬優子をホームユニットに編成しよう,Place Fuyuko Mayuzumi in your home unit
黛冬優子を1回プロデュースしよう,Produce Fuyuko Mayuzumi 1 time
黛冬優子を2回プロデュースしよう,Produce Fuyuko Mayuzumi 2 times
黛冬優子を3回プロデュースしよう,Produce Fuyuko Mayuzumi 3 times
黛冬優子を5回プロデュースしよう,Produce Fuyuko Mayuzumi 5 times
黛冬優子をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Fuyuko Mayuzumi
黛冬優子をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Fuyuko Mayuzumi
黛冬優子の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Fuyuko Mayuzumi
黛冬優子の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Fuyuko Mayuzumi
黛冬優子の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Fuyuko Mayuzumi
黛冬優子の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Fuyuko Mayuzumi
黛冬優子をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Fuyuko Mayuzumi as a Center, play Grade Fes Level 2 or above"
黛冬優子をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Fuyuko Mayuzumi as a Center, play Grade Fes Level 2 or above 3 times"
黛冬優子をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Fuyuko Mayuzumi as a Center, play Grade Fes Level 3 or above"
黛冬優子を含めた編成で営業を1回しよう,Have Fuyuko Mayuzumi complete 1 Job
黛冬優子を含めた編成で営業を5回しよう,Have Fuyuko Mayuzumi complete 5 Jobs
黛冬優子を含めた編成で営業を10回しよう,Have Fuyuko Mayuzumi complete 10 Jobs
黛冬優子を含めた編成で営業を20回しよう,Have Fuyuko Mayuzumi complete 20 Jobs
黛冬優子をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Fuyuko Mayuzumi with 400 or more Vocal
黛冬優子をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Fuyuko Mayuzumi with 400 or more Dance
黛冬優子をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Fuyuko Mayuzumi with 400 or more Visual
黛冬優子をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Fuyuko Mayuzumi with 400 or more Mental
黛冬優子をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Fuyuko Mayuzumi
黛冬優子をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Fuyuko Mayuzumi"
黛冬優子をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Fuyuko Mayuzumi"
黛冬優子をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Fuyuko Mayuzumi"
浅倉透をホームユニットに編成しよう,Place Toru Asakura in your home unit
浅倉透を1回プロデュースしよう,Produce Toru Asakura 1 time
浅倉透を2回プロデュースしよう,Produce Toru Asakura 2 times
浅倉透を3回プロデュースしよう,Produce Toru Asakura 3 times
浅倉透を5回プロデュースしよう,Produce Toru Asakura 5 times
浅倉透をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Toru Asakura
浅倉透をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Toru Asakura
浅倉透の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Toru Asakura
浅倉透の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Toru Asakura
浅倉透の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Toru Asakura
浅倉透の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Toru Asakura
浅倉透をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Toru Asakura as a Center, play Grade Fes Level 2 or above"
浅倉透をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Toru Asakura as a Center, play Grade Fes Level 2 or above 3 times"
浅倉透をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Toru Asakura as a Center, play Grade Fes Level 3 or above"
浅倉透を含めた編成で営業を1回しよう,Have Toru Asakura complete 1 Job
浅倉透を含めた編成で営業を5回しよう,Have Toru Asakura complete 5 Jobs
浅倉透を含めた編成で営業を10回しよう,Have Toru Asakura complete 10 Jobs
浅倉透を含めた編成で営業を20回しよう,Have Toru Asakura complete 20 Jobs
浅倉透をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Toru Asakura with 400 or more Vocal
浅倉透をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Toru Asakura with 400 or more Dance
浅倉透をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Toru Asakura with 400 or more Visual
浅倉透をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Toru Asakura with 400 or more Mental
浅倉透をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Toru Asakura
浅倉透をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Toru Asakura"
浅倉透をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Toru Asakura"
浅倉透をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Toru Asakura"
樋口円香をホームユニットに編成しよう,Place Madoka Higuchi in your home unit
樋口円香を1回プロデュースしよう,Produce Madoka Higuchi 1 time
樋口円香を2回プロデュースしよう,Produce Madoka Higuchi 2 times
樋口円香を3回プロデュースしよう,Produce Madoka Higuchi 3 times
樋口円香を5回プロデュースしよう,Produce Madoka Higuchi 5 times
樋口円香をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Madoka Higuchi
樋口円香をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Madoka Higuchi
樋口円香の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Madoka Higuchi
樋口円香の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Madoka Higuchi
樋口円香の信頼度を３以上にしよう,Reach Trust Level 3 or higher with Madoka Higuchi
樋口円香の信頼度を５以上にしよう,Reach Trust Level 5 or higher with Madoka Higuchi
樋口円香をセンターに編成して、グレード2以上のフェスに1回参加しよう,"With Madoka Higuchi as a Center, play Grade Fes Level 2 or above"
樋口円香をセンターに編成して、グレード2以上のフェスに3回参加しよう,"With Madoka Higuchi as a Center, play Grade Fes Level 2 or above 3 times"
樋口円香をセンターに編成して、グレード3以上のフェスに1回参加しよう,"With Madoka Higuchi as a Center, play Grade Fes Level 3 or above"
樋口円香を含めた編成で営業を1回しよう,Have Madoka Higuchi complete 1 Job
樋口円香を含めた編成で営業を5回しよう,Have Madoka Higuchi complete 5 Jobs
樋口円香を含めた編成で営業を10回しよう,Have Madoka Higuchi complete 10 Jobs
樋口円香を含めた編成で営業を20回しよう,Have Madoka Higuchi complete 20 Jobs
樋口円香をプロデュースして、Vo.400以上のフェスアイドルにしよう,Produce Madoka Higuchi with 400 or more Vocal
樋口円香をプロデュースして、Da.400以上のフェスアイドルにしよう,Produce Madoka Higuchi with 400 or more Dance
樋口円香をプロデュースして、Vi.400以上のフェスアイドルにしよう,Produce Madoka Higuchi with 400 or more Visual
樋口円香をプロデュースして、Me.400以上のフェスアイドルにしよう,Produce Madoka Higuchi with 400 or more Mental
樋口円香をプロデュースしてW.I.N.G.決勝に進出しよう,Win W.I.N.G. Semifinals with Madoka Higuchi
樋口円香をプロデュースして1万人のファン数を獲得しよう,"Earn 10,000 fans with Madoka Higuchi"
樋口円香をプロデュースして5万人のファン数を獲得しよう,"Earn 50,000 fans with Madoka Higuchi"
樋口円香をプロデュースして10万人のファン数を獲得しよう,"Earn 100,000 fans with Madoka Higuchi"
福丸小糸をホームユニットに編成しよう,Place Koito Fukumaru in your home unit
福丸小糸を1回プロデュースしよう,Produce Koito Fukumaru 1 time
福丸小糸を2回プロデュースしよう,Produce Koito Fukumaru 2 times
福丸小糸を3回プロデュースしよう,Produce Koito Fukumaru 3 times
福丸小糸を5回プロデュースしよう,Produce Koito Fukumaru 5 times
福丸小糸をCランク以上のフェスアイドルにしよう,Produce a Rank C or higher Koito Fukumaru
福丸小糸をBランク以上のフェスアイドルにしよう,Produce a Rank B or higher Koito Fukumaru
福丸小糸の思い出レベルを3以上にしよう,Reach Memory Appeal level 3 or higher with Koito Fukumaru
福丸小糸の思い出レベルを5にしよう,Reach Memory Appeal level 5 with Koito Fukumaru
