ja,en
もっともっと努力しないと\nトップアイドルにはなれないわ！,I can't become  a top idol if\nI don't put in the effort.
トレーニングはいつでも、どんなところでもできるのよ！,"Training can always be done, no matter the place!"
ちょっと！　何するのよ！,Hey! What are you doing?
……アナタ、どういうつもり？,...What do you think you're doing?
こういうことはやめて頂戴,Could you please stop that?
信じられないわ……,You're unbelievable...
……失望したわね,You disappoint me.
……何を考えているのか、説明してもらえる？,...Care to explain what exactly you're thinking?
今日は何か掴めそうな気がするわ……,I feel like I can do anything today...
やっほー\n今日もよろしくね☆\nプロデューサーさん！,"Yahoo! Please take good care of me today too, Producer-san!☆"
今日はレッスン？\nそれともお仕事かな？,Do I have a lesson today? Or maybe a job?
今日の調子もまーまーってところかな\n頑張っていこうね,"I'm feeling alright today. I'll do my best, okay?"
お、このファッション雑誌いい感じかも！\n後で読ませてもらうね,"Ah, this fashion magazine is really nice! I'll let you read it later, okay?"
まだ少し時間あるから、ネイルしてるね～,"I have some time, so I guess I'll do my nails～"
甜花ちゃんどうしてるかな～\nプロデューサーさん知ってる？,"I wonder what Tenka-chan's doing～ Do you know, Producer-san?"
甜花ちゃん？\nあ、プロデューサーさんか,"Tenka-chan? Oh, it's just you, Producer-san."
プロデューサーさん？\n何かあったのかな？,Producer-san? Did something happen?
急に触られたら驚いちゃうから\n声かけてほしいなっ,"I'll get startled if you suddenly touch me, so just call me instead."
まさか、甜花ちゃんにも\nおんなじことしてないよね……？,Don't tell me that you're doing this kind of thing with Tenka-chan?
プロデューサーさん……\nこういうことするんだ……,Producer-san... So you'd do something like this...
やっていいこととダメなことがあると思うな,I think that there are things that you can and you can't do.
今日はなんか\n成長できる気がするんだー☆,I feel like I can make some progress todayー☆
あ、プロデューサーさん……\n今日は……何をするの……？,"Ah, Producer...\nWhat are you... going to do today...?"
あうぅ……\n事務所に来るの、疲れちゃった……,Awuu... Going to the office made Tenka tired...
甜花……今日は……\nどうすればいい……？,What should...\nTenka do... today?
あ、あれ……プロデューサーさん……いるの……？,H-Hmm? Producer... Are you here?
今日は……お休みかな……？,Is today... a day off...?
甜花……ひとりだと……\n何もできない……,Tenka... by herself...\ncan't do anything...
これ……\nお仕事、なの……？,Is this... part of the job?
甜花……それ、こ、困る……,Tenka... is n-not comfortable with that...
プ、プロデューサーさん……\nどう、したの……？,P-Producer... What's the matter...?
あう……それは……\nや、やだ……,Au... Tenka... d-doesn't like that...
え……？\nええ……？？,Eh...?\r\nEhh...??
そこは……\nプロデューサーさんでも、\nダメ……,"That... Even if it's you, Producer, you shouldn't..."
甜花……新しいことが、できそう……,Tenka... might be able to do something new...
ふふ、今日もレッスンがんばります♪,"Fufu, I'll give it my all for the lessons today as well♪"
おはようございます\n……え？　つ、疲れてなんてないですよ〜,"Good morning.\n...Huh? N-No, I'm not tired."
プロデューサーさん、何か繕い物はないですか？,"Producer-san, is there anything you need fixing?"
プロデューサーさ〜ん……\nあれ……？,Producer-san...\r\nHuh...?
プロデューサーさん\n小物を買うときは、連れていってくださいね？,"Producer-san, bring me along when you shop for accessories, okay?"
プロデューサーさん\n眉間にしわが寄ってますよ？,"Producer-san, you're wrinkling your eyebrows, you know? "
……プロデューサーさん、\n女の子に急に触っちゃ、だめなんですよ？,"...Producer-san, you shouldn't touch a girl out of the blue like that."
きゃっ！\nび……びっくりしました,Kyaa! T-That startled me.
こ～ら、プロデューサーさん\nそういうのはダメです,"Jeez, Producer-san. You shouldn't be doing something like that."
プ、プロデューサーさん？　どうされたんですか？,P-Producer-san? Did something happen to you?
や、やめないと怒っちゃいますよ？,I-I'll get angry if you don't stop.
プロデューサーさんは\nそんな人じゃない……ですよね……？,You aren't that kind of person...right...?
今なら、何かが掴めそうな……,"I'm starting to get the hang of this...! "
あ！\nおはよっす！,Ah! G'morning!
今日は何をするっす？,What're we gonna do today?
何か面白いこと\nないっすかね～,Is there anything interesting 'round here～
それっ！\nあ、靴飛ばしたら\n立ったっす！,"Ah! Oh, if I throw these shoes, you'll stand up!"
あ！　今何か光ったっすよ！\n窓の外！,Ah! Somethin' was shining! Right outside the window!
む～……\n何も起きないっす～,Hmm～... Nothing's happening～
ん？　どうかしたんすか？,Hm? Is something wrong?
プロデューサーさんも\n退屈なんすか？,"Are you bored too, Producer?"
わっ！\nもー、急になんなんすか？,Wah! Jeez... What do you want now?
えっ？　何してるんすか？,Eh? What're you doing?
これ、なんの意味が\nあるんすか？,"Hey, what's the meaning of this?"
ん～……なんか嫌な感じっす,Umm... I'm not sure I like this.
今日はなんか起きる気がするっす～,I feel like something's gonna happen today～
今日のレッスンは\nなんですか？,What's the lesson for today?
ヒーローのお仕事なら\nあたしに任せてくださいっ！,Leave the hero work to me!
今日も元気いっぱい\n頑張りますっ！,"Today, I'll happily give it my all!"
プロデューサーさん\nどうかしましたか？,"Producer, what's the matter?"
うーん\n何をすれば\n良いんでしょう…？,Hmm... What should I do...?
しゅつどうよーせーがあるまで、司令部で待機ですね！,"Until the dispatch orders come, we'll be on stand-by here at our base, right!"
わっ！\nすみません\nぶつかっちゃいましたね,"Ah! Sorry about that, I bumped into you, didn't I?"
わわっ！\n……びっくりしたぁ,Aah! That startled me.
ヒーローになるための特訓、\nちゃんと身についてますか？,Does the training I've been doing to become a hero show?
あの……\nプロデューサーさん\nどうしましたか……？,"Umm... Producer, did something happen?"
あっ、ごめんなさい\nぶつかっちゃいましたか？,"Oh, sorry about that. Did I bump into you?"
ふえっ……？\nあっもしかしてマメ丸の毛が\nついてましたか？,"Fuweh? Ah, could it be that I have Mamemaru's hair on me?"
今日はなんだかいいことが\n思いつきそうです！,It looks like I'm going to get a good idea today!
お花に……水をあげないと……,I need to... water the flowers...
ご、ご気分は……どうでしょう……？,H-how... are you feeling...?
ケ……ケガをしてるわけでは……\nないんです……,I-I'm not really... injured or anything...
プ、プロデューサーさん\nわたしは……ここにいます……,P-Producer... I... I am right here...
す……すみません……\nどうされてるか不安になって……,I-I'm sorry... what did I do... to make you uncomfortable...
……ちょっと……包帯を直してきますね,I will just fix my bandages... real quick.
あっ……\nほ、包帯……ほどけてましたか？,Ah. W-Were my bandages... coming undone?
な、何か……\nご用でしょうか……？,I-Is there... something you need from me?
ふぁっ……！\n……お、脅かさないでください……,Ah...! P-please... don't startle me like that.
わ、わわ……！,Wawawa...
ど、どうされましたか……,H-how can I help you?
こ、これは……\n何かの……罰……なんでしょうか……,I-Is this... some sort of punishment?
何かが……生まれそうなんです……！,This feeling... \r\nThe birth of something new!
お疲れ様です\n今日もよろしくお願いします,Good work so far.\r\nI'll be counting on you again today.
プロデューサー、今日の予定はどうなっていますか？,"Producer, what's the schedule for today?"
こんにちは、プロデューサー,"Hello, Producer."
プロデューサー？\n私の話、聞いてますか？,Producer?\r\nAre you listening to me?
努力しても努力しても、\nし足りないんです,"No matter how hard I try,\r\nit's just not enough."
あとどのくらい頑張ったら、\n理想の自分に\nなれるんでしょうか……,I wonder how much more effort I need to put in to attain my ideal self.
……何か用なんですか？,...Do you need something?
……触らないでください,...Don't touch me.
……私に触る必要性、ありますか？,...Was it necessary to touch me?
やめてください！,Stop that!
今のって……\nわざと、ですよね？,"What you did just now... That was intentional, wasn't it?"
ちょっ……\nいい加減にしてください,Hey...\r\nPlease stop doing that!
うーん、あとちょっとで何かが掴めそうなんですが,"Hmm, it seems like I'll be able to grasp something soon."
今日はどんなことするのか、\n楽しみだよー！,I'm excited to find out what we're doing today!
やっほー！\nプロデューサー！,Yahoo!\r\nProducer!
今日も頑張るぞー！,I'll do my best today!
みんな今ごろ何してるかな？,What's everyone up to now?
アイドルのお仕事も友達の助っ人も、どっちも頑張りたいんだぁ,"Whether it's idol work or helping out a friend, I want to do my best in both."
みんなともっと\n仲良くなりたいなー！,I want to get even closer with everyone!
ちょっと、\nプロデューサー？\nこれはだめだよー,"Hey, Producer. You shouldn't do that."
きゃっ！\nび、びっくりしたぁー,Kyaa! T-That startled me.
もう、プロデューサーたら！\nやめてって言ってるのに！,"Come on, Producer! I already told you to stop doing that!"
……理由を聞いてもいいかな？,Can you tell me the reason why you're doing that?
今のはちょっと許せないかも……,I don't think I could let what you did just now slide.
プロデューサーって、そういう人だったっけ……？,"Producer, were you that kind of person to do that?"
今日は何か掴めそう！,I feel like I can get my hands on something today!
お疲れ様ー\n今日も張り切っていくばい！,"Thanks for workin' hard!\nToday, I'll be goin' all out!"
今日は\nどげんレッスンすると？,What kind of lesson am I going to do today?
今日もうち、\nいろんなことに\n挑戦したかー！,I want to challenge myself in different things today!
プロデューサー？\nてっきり居眠りかと\n思ったばい,プロデューサー？\nてっきり居眠りかと\n思ったばい
プロデューサー\nいつでも準備\nできとるけんね！,プロデューサー\nいつでも準備\nできとるけんね！
うちの料理は世界一！\n寮のみんなにも評判なんよ！,うちの料理は世界一！\n寮のみんなにも評判なんよ！
プロデューサー\n言ってくれればわかるけん\nそんなに触ることなか,"Producer, I already told you. You shouldn't touch me like that."
ちょ、そんな\nベタベタせんで良かって:  그런\n끈적끈적안하는게 좋은뎅,"No, you shouldn't be so touchy-feely like that."
もー、いいかげんにせんば\nいかんよ？\nプロデューサー,"Come on, will you cut that out already, Producer?"
……そげんのはやめんね,You shouldn't do that.
プロデューサー……\n見損なったばい……,Producer... I'm disappointed in you...
うちも、気にしとるけん\n触らんでよ……,I'm quite conscious about this. Don't touch...
なんかが掴めそうたい！,I feel like I can get my hands on something!
プロデューサー\n私のことをやる気に\nしてくださぁい,"Producer, do something to motivate me."
私、何でもフツーにできるんでー\nサボってもいいですかぁ？,"I can do any of this stuff fine already. So I can just slack off, right?"
今日は忙しいんですー\nもう帰っていいですかぁ？,I'm kinda busy today. Can I just go home already?
今のうちに次にするイタズラ\n考えておきますねー,I'll be thinking of what kind of prank to do next.
ふわぁ……\nやることないと、眠いですねー,Fwaaah... When there's nothing to for me to do I get sleepy.
私が急に事務所に\nこなくなったらぁ\nどうしますー？,What would you do if I suddenly don't show up here anymore?
何するんですかぁ\nやめてほしいんですケドー,What are you doing? I wish that you'd stop it.
女の子にー軽々しく触っちゃ\nダメだと思いまーす,"If you ask me, randomly touching girls is way out of line."
触らないでくださいー\n私、もう来ませんよー？,Don't touch me. I won't show up any more for real.
気分を害しましたぁ,I'm offended.
最っ低ですねー,You're just the worst.
幻滅ですー\n変態さんだったんですねー,How disappointing. You were a pervert after all.
んー、何かが掴めそうな予感がするかもー,"Mmm, I think I might get the hang of something new today."
今日も頑張っていこう、プロデューサー,"Let's do our best for today, Producer."
今日は何をするんだい？\nレッスン、お仕事……なんでも言ってくれ,"What would I be doing today? Lesson, work. Just say it."
プロデューサー、調子はどうだい？,"How are you, Producer?"
ぼんやりしてどうしたんだい？,You're dozing off. What happened?
ふぅ、さてどうしたものかな？,ふぅ、さてどうしたものかな？
みんなが喜ぶ私になるには\nどうしたらいいんだろう,I wonder what I should do to be able to please everybody.
おっと……\n何をしてるのかな？,Oh. What was that you're trying to do?
アナタとはいえ、許さないよ？,"I won't tolerate this, not even from you."
そんなことをして\n私をどうしたいのかな？,What do you want from me by doing that?
そういうのはちょっと……\nどうかと思うのだけどね,That's just... I wonder what were you thinking.
……これがアナタの仕事なのかい？,...Is this part of your job?
正直に言って、ショックだよ,"To be honest, that's quite a shock to me."
あと少しで、何か掴めそうな気がするんだけれどね,I feel like I can get my hands on something soon.
実はアイドルというのはドッ\nキリでした！　とか言うなら\n今のうちだけど……平気？,"If you're gonna reveal this\nidol thing was all a prank,\nnow's the time... I won't be\nmad?"
お、プロデューサーだ\n三峰は今日も元気に\n頑張りますよー,"Oh, hey Producer.\nMitsumine's pumped up\nand ready to do her best\ntoday!"
さってとー？\n三峰のPはどんなお仕事を\n魅せてくれるのかなー？,Alright! Wonder what kind\nof work Mitsumine's P will\nenchant her with this time.
どしたのプロデューサー\nぼーっとしちゃって,"What's wrong, Producer?
You keep spacing out."
プロデューサー？\n無視はよくないと思いまーす,"Uh, Producer?
I think ignoring someone is pretty rude..."
うーん……今日はやること\nないのかねぇ……,Huh... Guess there must be nothing for me to do today...
ちょっとプロデューサー……\n女の子に気安く触るのは\nどうかと思う……,"Hey, Producer. Just what were you thinking casually touching a girl as if it's nothing?"
理想と現実の区別は\nきちんとつけといたほうが\nいいと思うよ？,"You'd do better to distinguish your delusions and the actual reality, you know."
うひゃ！？　タンマタンマ！\nお触りは禁止でしょ！\n常識的に考えて！,"Uhya!?! Time out!
No touching allowed, remember!
Use your common sense!"
出るとこ出る？　謝っとく？\n好きなほうでいいよ？,Going to come out clean? Apologize? You can do whichever one you like.
や、さすがにないわー……,That isn't what I expected...
……それで？\nほんの出来心で、とか\n言っちゃう感じです？,"So? Are you going to say ""I just got the sudden urge"" or something now?"
三峰、新発見の予感……！,Mitsumine expects some new development in the near future...!
よろしくお願いしますね、\nプロデューサーさん！,"Please take good care of me, Producer!"
レッスンでもお仕事でも\n一生懸命頑張ります！,"Be it a lesson or a work, I will give it my all!"
チョコに絡めた何かが\nできるといいなー……！,It'd be nice if I were to do something related to chocolate!
プロデュ―サーさん、\nどうかしました？,"Producer, what's the matter?"
このままじっとしてても\nいいんでしょうか……？,Is it alright if I look at you like this for a bit...?
プロデュ―サーさ～ん、\n聞こえてますか～？,"Produceeer, can you hear me～?"
プロデューサーさんっ\nこういうのはよくないです！,"Producer, doing something like this is no good!"
私で遊ばないでください！\n怒りますよ！,Don't play with me! I'll get angry!
一応アイドルですし、私困っちゃいます……,I am an idol so this puts me in a tight spot...
……やっていいことと\n悪いことってあるんですよ,There are things that you can and you can not do.
ひゃっ……！？\nや、やめてくださいっ……！,Hyaa!?! P-Please stop that!
えっ……,Eh...?
今日は何かがありそうな予感……！,I feel like something's going to happen today!
むんっ、\n今日も頑張りましょうっ,Mun!\r\nLet's also do our best today.
こんにちは、プロデューサーさんっ,"Hello,\r\nProducer."
ほわぁ、\n今日はどんなことするんでしょうか？,"Hwa, I wonder\r\nwhat we're doing today?"
プロデューサーさん、\nどうしたんですか……？,プロデューサーさん、\nどうしたんですか……？
ほわぁ、何をすれば\nいいんですか……？,ほわぁ、何をすれば\nいいんですか……？
……ぽかぽかお天気で\n眠くなってきました,The warm weather makes me feel sleepy.
急にこんなこと……\nどうしてですか……？,To do something like this out of the blue... Why?
ひゃっ！\n……うう、困ります,Hyaa!\r\nUuh... Please don't do that.
え……？\nプロデューサーさんが\nこんなことするなんて……,"Eh? Producer, I didn't know that you'd do something like this."
えっと……ダメです\nプロデューサーさん,"Umm... You shouldn't do that, Producer."
プロデューサーさんて、\nそういうことする人\nだったんですか……？,プロデューサーさんて、\nそういうことする人\nだったんですか……？
こんなの…………\n……ショックです,This... is quite a shock for me.
何かが掴めそうな\n気がしますっ,I feel like I can\r\nreach new heights.
プロデューサーさん！\n今日は何かいいことが\n起きそうっすね！,Producer-san! Something good seems going to happen today!
おはよーっす！　\nプロデューサーさんも\nごきげんそうっすね！,"G'morning! You also looked bright today, Producer-san!"
さっき、\n面白いことあったんすよ！\nあはは、聞きたいっすか？,"Something interesting happened just now! Ahaha, wanna hear it?"
嫌じゃないんすけど……\n相変わらず意味が\nわかんないっす,"I don't hate it, but I don't understand why you keep doing this either."
プロデューサーさんは\n楽しい感じなんすか？\nこれ,"Is this fun to you, Producer?"
なんか鼓動が\n早くなるんすよね,"My heart's getting faster, somehow..."
あ！　暇だったり\nするっすか？\nじゃあ一緒に遊ぶっす！,Oh! Is it break time? Let's go play!
！\n今の刺激ですごいこと\nひらめいたっす！,Woah! Your prodding has given me an amazing idea!
プロデューサーさん、\nよく触るっすね\nあはは、触り返すっすよ！,"Aren't you being all touchy-feely today? Ahaha, I'll touch you back!"
プロデューサーさん！\n楽しいこと思いついたっす！\n一緒にやるっすよ,プロデューサーさん！\n楽しいこと思いついたっす！\n一緒にやるっすよ
ワクワクするっす～,ワクワクするっす～
テレビ見るっすよ！\nプロデューサーさん！\n面白そうなのやってるっす！,テレビ見るっすよ！\nプロデューサーさん！\n面白そうなのやってるっす！
あ、ちょうどいいとこに来た\nのど乾いたからお水ちょーだい,あ、ちょうどいいとこに来た\nのど乾いたからお水ちょーだい
ふふんふーん……\n……あっ！　あんた、\nいつから見てたの！？,ふふんふーん……\n……あっ！　あんた、\nいつから見てたの！？
さーて\n今日もふゆの可愛さで\nみんなメロメロにしてやるわ！,さーて\n今日もふゆの可愛さで\nみんなメロメロにしてやるわ！
……あんたの態度次第で、示談で済ましてあげる,"I may accept an out-of-court settlement, depending on your conduct."
なにすんのよ！\nこのバカ！　バカ！　……バカ！！,What do you think you're doing!? Dummy! Dummy! DUMMY!
ふゆなんて、触っても楽しくないでしょ……バカ,"Fuyu doesn't like being touched, you know... idiot."
許すわけないけど、言い訳だけは聞いてあげる,"I'll listen to your excuses, but that doesn't mean you're forgiven!"
女の子の体に触るなら、相応の順序ってものがあんでしょ！,There are formal proceedings that can be brought against those who touch young girls!
マッサージ？\nあんたがしたいなら、させてあげてもいいけど,"You want to give me a massage? Since it's you, I suppose I'll allow it."
ちょっと！\nふゆを放っぽって何してんのよ！,ちょっと！\nふゆを放っぽって何してんのよ！
ふゆを待たせるなんて、いい度胸してるわね,ふゆを待たせるなんて、いい度胸してるわね
……どこにいんのよ、バカ……,……どこにいんのよ、バカ……
流行の結果にあわせて、\nオーディションを受けてみてください♪,流行の結果にあわせて、\nオーディションを受けてみてください♪
……プロデューサー\nちょっとアップしてくる……,……プロデューサー\nちょっとアップしてくる……
あ、あわわ……\n頭……まっしろ……,あ、あわわ……\n頭……まっしろ……
ああっ……！　緊張で\nどうにかなっちゃいそう……！,ああっ……！　緊張で\nどうにかなっちゃいそう……！
あたしにも、できるかなぁ,あたしにも、できるかなぁ
あーもう、心配で集中できないじゃない……,あーもう、心配で集中できないじゃない……
いいカンジに\nあったまってきた～,I'm totally vibing～
いつも通り落ち着いてやれば大丈夫……かな,いつも通り落ち着いてやれば大丈夫……かな
うぅー、緊張してきたー！\nねぇねぇちょっと話そうよ！,"I'm nervous! Hey, let's talk about something!"
うう～……ここまで大きいステージは初めてかも……,うう～……ここまで大きいステージは初めてかも……
うちならできる……緊張？\nし、しとらんよ！？,うちならできる……緊張？\nし、しとらんよ！？
お客さん……ちゃんと、満足してくれるかな……,お客さん……ちゃんと、満足してくれるかな……
お客さん、いなくても\n気にしませんしー……,"Even if nobody shows up, I wouldn't really mind..."
お客さん、来てくれるでしょうか……,I wonder if the audience will come...
お客さん、来てるのかなー？　どうかなー？,お客さん、来てるのかなー？　どうかなー？
お客さんいっぱい……\nき、緊張する……,お客さんいっぱい……\nき、緊張する……
お客さんが望む、理想の\nアイドルを見せなきゃ……,お客さんが望む、理想の\nアイドルを見せなきゃ……
お客さんの入りが、多いといいんだけどね……,お客さんの入りが、多いといいんだけどね……
お客さんはチョコみたいに\n甘くはないよね……！,お客さんはチョコみたいに\n甘くはないよね……！
このスケール、\nちょいヤバくね？,このスケール、\nちょいヤバくね？
さて、そろそろ準備するわ！,"Well, I'll be ready in time!"
そうそうあがったりしないと\n思ってたんだけどな……,そうそうあがったりしないと\n思ってたんだけどな……
そろそろ出番っすか？,そろそろ出番っすか？
だんだん緊張してきました,I'm getting more and more nervous.
ちゃんとやれるかな……\n普通すぎって思われちゃうかも,ちゃんとやれるかな……\n普通すぎって思われちゃうかも
ちゃんと練習したんだ\nきっと大丈夫……,ちゃんと練習したんだ\nきっと大丈夫……
ちょっとブルってきたかも……,ちょっとブルってきたかも……
できるかどうか、じゃない……\n最善を尽くすしかないわね,できるかどうか、じゃない……\n最善を尽くすしかないわね
どうしたらいいでしょう……\nふ、震えてしまって……,どうしたらいいでしょう……\nふ、震えてしまって……
なんかぁ、そわそわしますー……,"Somehow, I'm feeling kind of restless..."
なんだかいつもと違うっす,なんだかいつもと違うっす
なんだか\nドキドキしてきました……,なんだか\nドキドキしてきました……
ふう……大丈夫、ふゆならやれる……,ふう……大丈夫、ふゆならやれる……
ふふ、お客さんにも、素敵な装いの人がいっぱいです,ふふ、お客さんにも、素敵な装いの人がいっぱいです
まだまだ今の私では……\nいえ、なんとかやってみせるわ,まだまだ今の私では……\nいえ、なんとかやってみせるわ
もうすぐ始まるんだよね。うわーキンチョーしてきたー,もうすぐ始まるんだよね。うわーキンチョーしてきたー
もっとレッスンをしておきたいです,I want to prepare by doing more lessons.
やべーな\n緊張してきたぜ……,やべーな\n緊張してきたぜ……
やるっきゃない、よね……！,やるっきゃない、よね……！
わ、わたし包帯を……\n巻きなおしてきます……！,わ、わたし包帯を……\n巻きなおしてきます……！
わたし、今回の衣装\n好きっす！,I like the costume this time!
わーお……これはちょっと\n飲まれちゃいそうかも……,わーお……これはちょっと\n飲まれちゃいそうかも……
パフォーマンス、\nちょっとアレンジしたいっす,"The routine,\r\nI want to mix it up a little."
ファンのみなさんを……\nがっかりさせないでしょうか,ファンのみなさんを……\nがっかりさせないでしょうか
ファンの声援って、最高に気持ちいいの。なんでもできそう！,ファンの声援って、最高に気持ちいいの。なんでもできそう！
フェス、やってる……\nどこかに……隠れたい……,フェス、やってる……\nどこかに……隠れたい……
フェスが始まるね！\n心臓バクバクだよー……！,The Fes is starting!\nMy heart's pounding!
フェスって、こんなおっきい会場でするんやね……\n,フェスって、こんなおっきい会場でするんやね……\n
フェスってめっちゃ面白いの！　さいっこーの気分だわ！,Fes is so interesting! It's the most amazing feeling!
プロデューサーさん、\nちゃんと見てるっすよ,プロデューサーさん、\nちゃんと見てるっすよ
プロデューサーさんが一緒なのできっと大丈夫ですっ,プロデューサーさんが一緒なのできっと大丈夫ですっ
ワクワク、\nだけじゃない感じっす,ワクワク、\nだけじゃない感じっす
上手くいくか……占ってもいいですか？,Will it go okay...\nCan I try giving a fortune?
不安がないと言えば嘘になるわ\nでも、やるしかないのよね,不安がないと言えば嘘になるわ\nでも、やるしかないのよね
今日は、途中で失敗せんばい！\nたぶん……,今日は、途中で失敗せんばい！\nたぶん……
凛世は、ご期待に……\n応えられるでしょうか……,凛世は、ご期待に……\n応えられるでしょうか……
初めてのお客さんがいたら……ふゆ推しにしちゃうんだから！,初めてのお客さんがいたら……ふゆ推しにしちゃうんだから！
大丈夫でしょうか？\n……少し不安です,Are you okay?\n...I'm a bit worried.
失敗しないか心配、だけど、\n弱気はよくないよね！,"You'll fail if you worry, but being timid is no good!"
戦う前から弱気になったら\nダメですよね！,戦う前から弱気になったら\nダメですよね！
新しい経験だから、少し緊張しているよ……フフ,新しい経験だから、少し緊張しているよ……フフ
深呼吸です。すー……はー……,深呼吸です。すー……はー……
私、大丈夫でしょうか……,I wonder if I'll be okay...
緊張しないと言ったら、嘘になっちゃいます,緊張しないと言ったら、嘘になっちゃいます
緊張なんてしてませんよー……\nホントーですからぁ,It's not like I'm nervous or anything... Really.
緊張はすっけど、\nファンの力ってすごいよね～,"I'm nervous, but our\r\nfan's passion is unreal～"
貴方さまが、いないと……\nいえ……申し訳ございません,貴方さまが、いないと……\nいえ……申し訳ございません
貴方さまを、失望させてしまわ\nないか、不安でございます……,貴方さまを、失望させてしまわ\nないか、不安でございます……
お月さまの光はふんわりしていて、ピーちゃんの羽みたいにとっても優しいです,お月さまの光はふんわりしていて、ピーちゃんの羽みたいにとっても優しいです
"──プロデューサー！　その、
お団子があるんですけど、
一緒にお月見、しませんか？","──Producer! Um, I have some dango, would you like to watch the moon with me?"
"世界中どこでも、月の見える面
は一緒なんだって！　みんな同
じのを見てるってすごいね！","世界中どこでも、月の見える面
は一緒なんだって！　みんな同
じのを見てるってすごいね！"
うさぎがお月さんで\nついた餅……\nうまかやろうね～,うさぎがお月さんで\nついた餅……\nうまかやろうね～
ずっと黙ってたんですケドー\n私、満月の夜になると……\n…………嘘ですよー,ずっと黙ってたんですケドー\n私、満月の夜になると……\n…………嘘ですよー
月を見ると、なんだか\n胸がざわめくような……\n……クス、なんてね,月を見ると、なんだか\n胸がざわめくような……\n……クス、なんてね
"一緒にお月見と洒落込みませ
んかー？　今ならつまめる
ものもつけちゃうよー","一緒にお月見と洒落込みませ
んかー？　今ならつまめる
ものもつけちゃうよー"
ウサギさんカニさん……\nおばあさんライオンさん……\n月のみなさんこんばんは,ウサギさんカニさん……\nおばあさんライオンさん……\n月のみなさんこんばんは
"ウサちゃんが、まんまるお月さ
までお餅つきをしてるそうです
……！　見てみたいです！","ウサちゃんが、まんまるお月さ
までお餅つきをしてるそうです
……！　見てみたいです！"
"積まれたお団子って、こう、
なんていうか……！　ロマン
があると思いませんか……！","積まれたお団子って、こう、
なんていうか……！　ロマン
があると思いませんか……！"
月見って具体的に\n何すればいいのか\nよくわかんねーよな……,月見って具体的に\n何すればいいのか\nよくわかんねーよな……
月は……くまなきをのみ──\n今宵くらいは見たいのです\nくまなき心を……,月は……くまなきをのみ──\n今宵くらいは見たいのです\nくまなき心を……
月々に月見る月は\n多けれど──……\n一番綺麗な月、早く見たいわ,月々に月見る月は\n多けれど──……\n一番綺麗な月、早く見たいわ
プロデューサーさん、見て見てっ！　お供え物のお団子、ウサギさんの形にしてみたよ☆,プロデューサーさん、見て見てっ！　お供え物のお団子、ウサギさんの形にしてみたよ☆
お月様、見たい……けど、眠い……そうだ、今からお昼寝してれば……眠く、ならない……！,お月様、見たい……けど、眠い……そうだ、今からお昼寝してれば……眠く、ならない……！
プロデューサーさん。\nせっかくなので、お月見しな\nがら少し休憩しませんか？,プロデューサーさん。\nせっかくなので、お月見しな\nがら少し休憩しませんか？
あのウサギ、すごい進化してるっすよね！　酸素がなくても生きられるってすごいっす！,あのウサギ、すごい進化してるっすよね！　酸素がなくても生きられるってすごいっす！
ぼーっと月見てるだけの何が楽しいんだか……ねえあんた、なんか面白いことしなさいよ,ぼーっと月見てるだけの何が楽しいんだか……ねえあんた、なんか面白いことしなさいよ
白いままだと美味しくないからさぁ、うち、みたらしをお供えにしたわ！,白いままだと美味しくないからさぁ、うち、みたらしをお供えにしたわ！
笑顔が固いなぁ,That smile seems forced.
衣装が乱れてる\nしっかりなさい,Your costume is disheveled.
ひゅーっ！\n衣装顔負け！,Woah! That costume!
良い顔です\n歌を楽んでいる,I'm enjoying the song!
動きのキレがいまいちだな,"That move was messy. "
動きがかたい\n柔軟したの？,Try to be more flexible?
いいねえ\n心にくるぜ！,Nice! Touches my heart!
もっと声出してもらわないと,Can't you be louder?
歌詞が違う……\nがっかりです,"Wrong lyrics... Disappointing. "
それじゃダメ\n可愛くないわ,That's no good. Not cute at all.
新しい表現も見せて欲しいですね,"Show some different expressions. "
ガツーンとくるもの見せてよ,ガツーンとくるもの見せてよ
もっと良いとこ見せて〜,もっと良いとこ見せて〜
いい顔してる\nドキドキするわ,My heart's pounding!
センターのボーカル、良いですね,Aren't those vocals good?!
センターのダンス、イイねぇ！,That dance was great!
センターのビジュアル、しびれる〜,This visual is mesmerizing～
ビックリだ……\nすごくウマい,Surprising...\r\nSo skilled.
空っぽですね\n何も感じません,空っぽですね\n何も感じません
あ、ミスったね\nごまかせないよ,あ、ミスったね\nごまかせないよ
練習量を感じる\n……完璧です,Perfect practice...
音程が……\nダメですね,That pitch was\r\nno good...
めちゃくちゃ！\nリズムが全然！,How chaotic!\r\nOff rhythm!
最近根を詰めすぎだったからな\n今週は休みにして英気を養おう,最近根を詰めすぎだったからな\n今週は休みにして英気を養おう
ほんとに！？　あんたわかってんじゃない！\n積みアニメに買い物に……何しよっかなー,ほんとに！？　あんたわかってんじゃない！\n積みアニメに買い物に……何しよっかなー
そろそろ疲れただろう\n今週辺り、友達と遊んでくるといい,"You're probably worn out.\r\nIt's fine to hang out with your friends this week. "
マジで！？　ちょうど遊びたかったんだよね～\nサンキュ～！,Seriously!? I was just thinking about\r\ngoing out～ Thank you～!
今週はお休みにしよう\n好きにショッピングでもして気分転換するといい,今週はお休みにしよう\n好きにショッピングでもして気分転換するといい
