ja,zh
センターに西城樹里を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに西城樹里を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
西城樹里のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,西城樹里のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに西城樹里を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに西城樹里を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
西城樹里のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,西城樹里のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに西城樹里を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに西城樹里を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
西城樹里のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,西城樹里のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
グレードLv3に昇格しよう,グレードLv3に昇格しよう
SR特訓はづきさん（サポート）,SR特訓はづきさん（サポート）
SRのサポートアイドルを特訓します,SRのサポートアイドルを特訓します
グレードLv4に昇格しよう,グレードLv4に昇格しよう
SR特訓はづきさん（プロデュース）,SR特訓はづきさん（プロデュース）
SRのプロデュースアイドルを特訓します,SRのプロデュースアイドルを特訓します
グレードLv5に昇格しよう,グレードLv5に昇格しよう
SSR確定ガシャチケット,SSR確定ガシャチケット
SSR確定ガシャが引けるチケットです,SSR確定ガシャが引けるチケットです
グレードLv6に昇格しよう,グレードLv6に昇格しよう
SSR特訓はづきさん（サポート）,SSR特訓はづきさん（サポート）
SSRのサポートアイドルを特訓します,SSRのサポートアイドルを特訓します
グレードLv7に昇格しよう,グレードLv7に昇格しよう
SSR特訓はづきさん（プロデュース）,SSR特訓はづきさん（プロデュース）
SSRのプロデュースアイドルを特訓します,SSRのプロデュースアイドルを特訓します
【チエルアルコは流星の】八宮めぐるのTrueEndを見よう,【チエルアルコは流星の】八宮めぐるのTrueEndを見よう
【夕・音・鳴・鳴】幽谷 霧子のTrueEndを見よう,【夕・音・鳴・鳴】幽谷 霧子のTrueEndを見よう
【は～と♡に火をつけて】月岡恋鐘のTrueEndを見よう,【は～と♡に火をつけて】月岡恋鐘のTrueEndを見よう
【伸ばす手に乗せるのは】風野灯織のTrueEndを見よう,【伸ばす手に乗せるのは】風野灯織のTrueEndを見よう
【摩的・アンチテーゼ】田中摩美々のTrueEndを見よう,【摩的・アンチテーゼ】田中摩美々のTrueEndを見よう
【お願い、ただの少女がいい】三峰結華のTrueEndを見よう,【お願い、ただの少女がいい】三峰結華のTrueEndを見よう
【シークレット・ヒロイン】桑山千雪のTrueEndを見よう,【シークレット・ヒロイン】桑山千雪のTrueEndを見よう
【凛世花伝】杜野凛世のTrueEndを見よう,【凛世花伝】杜野凛世のTrueEndを見よう
【STARTRAIN】西城樹里のTrueEndを見よう,【STARTRAIN】西城樹里のTrueEndを見よう
【メイドインナツハ】有栖川夏葉のTrueEndを見よう,【メイドインナツハ】有栖川夏葉のTrueEndを見よう
【1/60・NaturalHeart】白瀬咲耶のTrueEndを見よう,【1/60・NaturalHeart】白瀬咲耶のTrueEndを見よう
【白・白・白・祈】幽谷霧子のTrueEndを見よう,【白・白・白・祈】幽谷霧子のTrueEndを見よう
【ハ♡トフェルトゥギフト】櫻木真乃のTrueEndを見よう,【ハ♡トフェルトゥギフト】櫻木真乃のTrueEndを見よう
【お日様染めのマリーナ】大崎甜花のTrueEndを見よう,【お日様染めのマリーナ】大崎甜花のTrueEndを見よう
【あそ→と♡ちよこれいと】園田 智代子のTrueEndを見よう,【あそ→と♡ちよこれいと】園田 智代子のTrueEndを見よう
【そのまみみ無気力につき】田中摩美々のTrueEndを見よう,【そのまみみ無気力につき】田中摩美々のTrueEndを見よう
【新装備・バブルバスター！】小宮果穂のTrueEndを見よう,【新装備・バブルバスター！】小宮果穂のTrueEndを見よう
【よそゆき顔のセレナーデ】桑山千雪のTrueEndを見よう,【よそゆき顔のセレナーデ】桑山千雪のTrueEndを見よう
【マフラー直して、心は解けて】風野灯織のTrueEndを見よう,【マフラー直して、心は解けて】風野灯織のTrueEndを見よう
【しじまに華ひととき】櫻木真乃のTrueEndを見よう,【しじまに華ひととき】櫻木真乃のTrueEndを見よう
【月の浜辺で待っとって】月岡恋鐘のTrueEndを見よう,【月の浜辺で待っとって】月岡恋鐘のTrueEndを見よう
【とびっきりジンジャー】西城樹里のTrueEndを見よう,【とびっきりジンジャー】西城樹里のTrueEndを見よう
【小さな夜のトロイメライ】八宮めぐるのTrueEndを見よう,【小さな夜のトロイメライ】八宮めぐるのTrueEndを見よう
【ゆらゆらアクアリウム】大崎甘奈のTrueEndを見よう,【ゆらゆらアクアリウム】大崎甘奈のTrueEndを見よう
【ふれあい、おもいあい】白瀬咲耶のTrueEndを見よう,【ふれあい、おもいあい】白瀬咲耶のTrueEndを見よう
【淡雪の戯れ】風野灯織のTrueEndを見よう,【淡雪の戯れ】風野灯織のTrueEndを見よう
【ふらここのうた】杜野凛世のTrueEndを見よう,【ふらここのうた】杜野凛世のTrueEndを見よう
【氷上バンビーナ】大崎甜花のTrueEndを見よう,【氷上バンビーナ】大崎甜花のTrueEndを見よう
【デコって！ハッピークッキー】小宮果穂のTrueEndを見よう,【デコって！ハッピークッキー】小宮果穂のTrueEndを見よう
【杜野凛世の印象派】杜野凛世のTrueEndを見よう,【杜野凛世の印象派】杜野凛世のTrueEndを見よう
【ちょこ色×きらきらロマン】園田智代子のTrueEndを見よう,【ちょこ色×きらきらロマン】園田智代子のTrueEndを見よう
【カトレアの花言葉】有栖川夏葉のTrueEndを見よう,【カトレアの花言葉】有栖川夏葉のTrueEndを見よう
【ぐうぜんBOOKS】櫻木真乃のTrueEndを見よう,【ぐうぜんBOOKS】櫻木真乃のTrueEndを見よう
【お試し／みつゴコロ】三峰結華のTrueEndを見よう,【お試し／みつゴコロ】三峰結華のTrueEndを見よう
【甜花ちゃんといっしょ☆】大崎甘奈のTrueEndを見よう,【甜花ちゃんといっしょ☆】大崎甘奈のTrueEndを見よう
【シンメトリー・プールサイド】大崎甜花のTrueEndを見よう,【シンメトリー・プールサイド】大崎甜花のTrueEndを見よう
【キネマ・リリックで夢見て】八宮めぐるのTrueEndを見よう,【キネマ・リリックで夢見て】八宮めぐるのTrueEndを見よう
【マイ・ピュア・ロマンス】桑山千雪のTrueEndを見よう,【マイ・ピュア・ロマンス】桑山千雪のTrueEndを見よう
【ビ～♡バップ海岸】月岡恋鐘のTrueEndを見よう,【ビ～♡バップ海岸】月岡恋鐘のTrueEndを見よう
【紺碧のボーダーライン】白瀬咲耶のTrueEndを見よう,【紺碧のボーダーライン】白瀬咲耶のTrueEndを見よう
【夏に恋するピチカート！】八宮めぐるのTrueEndを見よう,【夏に恋するピチカート！】八宮めぐるのTrueEndを見よう
【微熱風鈴】杜野凛世のTrueEndを見よう,【微熱風鈴】杜野凛世のTrueEndを見よう
【よろしく♡めしませっ】園田智代子のTrueEndを見よう,【よろしく♡めしませっ】園田智代子のTrueEndを見よう
【アルティメットマーメイド】有栖川夏葉のTrueEndを見よう,【アルティメットマーメイド】有栖川夏葉のTrueEndを見よう
【第２形態アーマードタイプ】小宮果穂のTrueEndを見よう,【第２形態アーマードタイプ】小宮果穂のTrueEndを見よう
【オフデーゲーム】西城樹里のTrueEndを見よう,【オフデーゲーム】西城樹里のTrueEndを見よう
【事務所。静寂。大輪の華】大崎甜花のTrueEndを見よう,【事務所。静寂。大輪の華】大崎甜花のTrueEndを見よう
【一夏一刻物語】桑山千雪のTrueEndを見よう,【一夏一刻物語】桑山千雪のTrueEndを見よう
【ばりうまかブルース】月岡恋鐘のTrueEndを見よう,【ばりうまかブルース】月岡恋鐘のTrueEndを見よう
【伝・伝・心・音】幽谷霧子のTrueEndを見よう,【伝・伝・心・音】幽谷霧子のTrueEndを見よう
【ナチュラルモード】櫻木真乃のTrueEndを見よう,【ナチュラルモード】櫻木真乃のTrueEndを見よう
【スタンバイオッケー】大崎甘奈のTrueEndを見よう,【スタンバイオッケー】大崎甘奈のTrueEndを見よう
【ほわっとスマイル】櫻木真乃のTrueEndを見よう,【ほわっとスマイル】櫻木真乃のTrueEndを見よう
【ばってん長崎恋岬】月岡恋鐘のTrueEndを見よう,【ばってん長崎恋岬】月岡恋鐘のTrueEndを見よう
【裏腹あまのじゃく】田中摩美々のTrueEndを見よう,【裏腹あまのじゃく】田中摩美々のTrueEndを見よう
【トリッキーナイト】田中摩美々のTrueEndを見よう,【トリッキーナイト】田中摩美々のTrueEndを見よう
【夕つ方まみみチック】田中摩美々のTrueEndを見よう,【夕つ方まみみチック】田中摩美々のTrueEndを見よう
【秘めやかファンサービス】白瀬咲耶のTrueEndを見よう,【秘めやかファンサービス】白瀬咲耶のTrueEndを見よう
【カラフルメタモルフォーゼ】三峰結華のTrueEndを見よう,【カラフルメタモルフォーゼ】三峰結華のTrueEndを見よう
【雨色、上機嫌】三峰結華のTrueEndを見よう,【雨色、上機嫌】三峰結華のTrueEndを見よう
【包・帯・組・曲】幽谷霧子のTrueEndを見よう,【包・帯・組・曲】幽谷霧子のTrueEndを見よう
【純真チョコレート】園田智代子のTrueEndを見よう,【純真チョコレート】園田智代子のTrueEndを見よう
【バッドガールの羽ばたき】西城樹里のTrueEndを見よう,【バッドガールの羽ばたき】西城樹里のTrueEndを見よう
【凛凛、凛世】杜野凛世のTrueEndを見よう,【凛凛、凛世】杜野凛世のTrueEndを見よう
【ストイックトレーニング】有栖川夏葉のTrueEndを見よう,【ストイックトレーニング】有栖川夏葉のTrueEndを見よう
【似合うかな？】大崎甘奈のTrueEndを見よう,【似合うかな？】大崎甘奈のTrueEndを見よう
【マイフェイバリット】桑山千雪のTrueEndを見よう,【マイフェイバリット】桑山千雪のTrueEndを見よう
【手作りの心遣い】風野灯織のTrueEndを見よう,【手作りの心遣い】風野灯織のTrueEndを見よう
ランクS以上のフェスアイドルを誕生させよう,ランクS以上のフェスアイドルを誕生させよう
フェスアイドルを7人誕生させよう,フェスアイドルを7人誕生させよう
フェスアイドルを10人誕生させよう,フェスアイドルを10人誕生させよう
フェスアイドルを12人誕生させよう,フェスアイドルを12人誕生させよう
フェスアイドルを15人誕生させよう,フェスアイドルを15人誕生させよう
アルストロメリアの誰か一人をプロデュースしてランクD以上のフェスアイドルを誕生させよう,アルストロメリアの誰か一人をプロデュースしてランクD以上のフェスアイドルを誕生させよう
アルストロメリアの誰か一人をプロデュースしてランクC以上のフェスアイドルを誕生させよう,アルストロメリアの誰か一人をプロデュースしてランクC以上のフェスアイドルを誕生させよう
アルストロメリアの誰か一人をプロデュースしてランクB以上のフェスアイドルを誕生させよう,アルストロメリアの誰か一人をプロデュースしてランクB以上のフェスアイドルを誕生させよう
大崎甘奈をプロデュースしてシーズン2をクリアしよう,大崎甘奈をプロデュースしてシーズン2をクリアしよう
大崎甘奈をプロデュースしてシーズン3をクリアしよう,大崎甘奈をプロデュースしてシーズン3をクリアしよう
大崎甘奈をプロデュースしてシーズン4をクリアしよう,大崎甘奈をプロデュースしてシーズン4をクリアしよう
大崎甘奈をプロデュースしてW.I.N.G.決勝に進出しよう,大崎甘奈をプロデュースしてW.I.N.G.決勝に進出しよう
桑山千雪をプロデュースしてシーズン2をクリアしよう,桑山千雪をプロデュースしてシーズン2をクリアしよう
桑山千雪をプロデュースしてシーズン3をクリアしよう,桑山千雪をプロデュースしてシーズン3をクリアしよう
桑山千雪をプロデュースしてシーズン4をクリアしよう,桑山千雪をプロデュースしてシーズン4をクリアしよう
桑山千雪をプロデュースしてW.I.N.G.決勝に進出しよう,桑山千雪をプロデュースしてW.I.N.G.決勝に進出しよう
大崎甜花をプロデュースしてシーズン2をクリアしよう,大崎甜花をプロデュースしてシーズン2をクリアしよう
大崎甜花をプロデュースしてシーズン3をクリアしよう,大崎甜花をプロデュースしてシーズン3をクリアしよう
大崎甜花をプロデュースしてシーズン4をクリアしよう,大崎甜花をプロデュースしてシーズン4をクリアしよう
大崎甜花をプロデュースしてW.I.N.G.決勝に進出しよう,大崎甜花をプロデュースしてW.I.N.G.決勝に進出しよう
【好きなものはなんですか？】大崎甜花をプロデュースしてシーズン2をクリアしよう,【好きなものはなんですか？】大崎甜花をプロデュースしてシーズン2をクリアしよう
【好きなものはなんですか？】大崎甜花をプロデュースしてシーズン3をクリアしよう,【好きなものはなんですか？】大崎甜花をプロデュースしてシーズン3をクリアしよう
【好きなものはなんですか？】大崎甜花をプロデュースしてシーズン4をクリアしよう,【好きなものはなんですか？】大崎甜花をプロデュースしてシーズン4をクリアしよう
【ザ・冬優子イズム】黛冬優子をプロデュースしてシーズン2をクリアしよう,【ザ・冬優子イズム】黛冬優子をプロデュースしてシーズン2をクリアしよう
【ザ・冬優子イズム】黛冬優子をプロデュースしてシーズン3をクリアしよう,【ザ・冬優子イズム】黛冬優子をプロデュースしてシーズン3をクリアしよう
【ザ・冬優子イズム】黛冬優子をプロデュースしてシーズン4をクリアしよう,【ザ・冬優子イズム】黛冬優子をプロデュースしてシーズン4をクリアしよう
【花笑み咲匂う】八宮めぐるを編成してシーズン2をクリアしよう,【花笑み咲匂う】八宮めぐるを編成してシーズン2をクリアしよう
【花笑み咲匂う】八宮めぐるを編成してシーズン3をクリアしよう,【花笑み咲匂う】八宮めぐるを編成してシーズン3をクリアしよう
【花笑み咲匂う】八宮めぐるを編成してシーズン4をクリアしよう,【花笑み咲匂う】八宮めぐるを編成してシーズン4をクリアしよう
【ハッピーの答えはどこに？】大崎甘奈を編成してシーズン2をクリアしよう,【ハッピーの答えはどこに？】大崎甘奈を編成してシーズン2をクリアしよう
【ハッピーの答えはどこに？】大崎甘奈を編成してシーズン3をクリアしよう,【ハッピーの答えはどこに？】大崎甘奈を編成してシーズン3をクリアしよう
【W.I.N.G.編】シーズン2のオーディションすべてに合格しよう,【W.I.N.G.編】シーズン2のオーディションすべてに合格しよう
【W.I.N.G.編】シーズン3のオーディションすべてに合格しよう,【W.I.N.G.編】シーズン3のオーディションすべてに合格しよう
【W.I.N.G.編】シーズン4のオーディションすべてに合格しよう,【W.I.N.G.編】シーズン4のオーディションすべてに合格しよう
【グッド・ラック・ボール】西城 樹里,【グッド・ラック・ボール】西城 樹里
【W.I.N.G.編】W.I.N.G.決勝に進出しよう,【W.I.N.G.編】W.I.N.G.決勝に進出しよう
【W.I.N.G.編】シーズン2開催のオーディション「夕方ワイド アイドル一番！」に合格しよう,【W.I.N.G.編】シーズン2開催のオーディション「夕方ワイド アイドル一番！」に合格しよう
【W.I.N.G.編】シーズン3開催のオーディション「SPOT◇LIGHT」に合格しよう,【W.I.N.G.編】シーズン3開催のオーディション「SPOT◇LIGHT」に合格しよう
【W.I.N.G.編】シーズン3開催のオーディション「踊っていいとも？増刊号」に合格しよう,【W.I.N.G.編】シーズン3開催のオーディション「踊っていいとも？増刊号」に合格しよう
【W.I.N.G.編】シーズン4開催のオーディション「THE LEGEND」に合格しよう,【W.I.N.G.編】シーズン4開催のオーディション「THE LEGEND」に合格しよう
【W.I.N.G.編】シーズン4開催のオーディション「七彩メモリーズ」に合格しよう,【W.I.N.G.編】シーズン4開催のオーディション「七彩メモリーズ」に合格しよう
【W.I.N.G.編】シーズン1のオーディションすべてに合格しよう,【W.I.N.G.編】シーズン1のオーディションすべてに合格しよう
【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう,【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう
【W.I.N.G.編】シーズン1開催のオーディション「明日のアイドル一番星」に合格しよう,【W.I.N.G.編】シーズン1開催のオーディション「明日のアイドル一番星」に合格しよう
【W.I.N.G.編】シーズン1開催のオーディション「歌ウンジャNIGHT？」に合格しよう,【W.I.N.G.編】シーズン1開催のオーディション「歌ウンジャNIGHT？」に合格しよう
【W.I.N.G.編】シーズン1開催のオーディション「とどけ！オトメ☆ファンファーレ」に合格しよう,【W.I.N.G.編】シーズン1開催のオーディション「とどけ！オトメ☆ファンファーレ」に合格しよう
【W.I.N.G.編】シーズン1開催のオーディション「今がキラキラ！思いっきりアイドル」に合格しよう,【W.I.N.G.編】シーズン1開催のオーディション「今がキラキラ！思いっきりアイドル」に合格しよう
【W.I.N.G.編】シーズン1開催の特別オーディション「おはよう街角の朝ごはん」に合格しよう,【W.I.N.G.編】シーズン1開催の特別オーディション「おはよう街角の朝ごはん」に合格しよう
【W.I.N.G.編】シーズン2開催のオーディション「NEWBE@T」に合格しよう,【W.I.N.G.編】シーズン2開催のオーディション「NEWBE@T」に合格しよう
【W.I.N.G.編】シーズン2開催のオーディション「ハッピー元気Showパーリータイム」に合格しよう,【W.I.N.G.編】シーズン2開催のオーディション「ハッピー元気Showパーリータイム」に合格しよう
【W.I.N.G.編】シーズン2開催のオーディション「HOPPINJAM？」に合格しよう,【W.I.N.G.編】シーズン2開催のオーディション「HOPPINJAM？」に合格しよう
【W.I.N.G.編】シーズン2開催の特別オーディション「エレぇベスト」に合格しよう,【W.I.N.G.編】シーズン2開催の特別オーディション「エレぇベスト」に合格しよう
【W.I.N.G.編】シーズン3開催のオーディション「iDOLBuffet アイドルビュッフェ」に合格しよう,【W.I.N.G.編】シーズン3開催のオーディション「iDOLBuffet アイドルビュッフェ」に合格しよう
【W.I.N.G.編】シーズン3開催のオーディション「POP-ON！」に合格しよう,【W.I.N.G.編】シーズン3開催のオーディション「POP-ON！」に合格しよう
【W.I.N.G.編】シーズン3開催の特別オーディション「めざせアイドルNo.1」に合格しよう,【W.I.N.G.編】シーズン3開催の特別オーディション「めざせアイドルNo.1」に合格しよう
【W.I.N.G.編】シーズン4開催のオーディション「アイドルの女神様」に合格しよう,【W.I.N.G.編】シーズン4開催のオーディション「アイドルの女神様」に合格しよう
【W.I.N.G.編】シーズン4開催のオーディション「LET's SAY HELLO!!」に合格しよう,【W.I.N.G.編】シーズン4開催のオーディション「LET's SAY HELLO!!」に合格しよう
【W.I.N.G.編】シーズン4開催のオーディション「オールアイドル感謝FESTIVAL」に合格しよう,【W.I.N.G.編】シーズン4開催のオーディション「オールアイドル感謝FESTIVAL」に合格しよう
【W.I.N.G.編】シーズン4開催のオーディション「歌姫楽宴」に合格しよう,【W.I.N.G.編】シーズン4開催のオーディション「歌姫楽宴」に合格しよう
【W.I.N.G.編】シーズン4開催の特別オーディション「今夜は帰りたくない！」に合格しよう,【W.I.N.G.編】シーズン4開催の特別オーディション「今夜は帰りたくない！」に合格しよう
【ファン感謝祭編】ファン感謝祭をクリアしよう,【ファン感謝祭編】ファン感謝祭をクリアしよう
【ファン感謝祭編】ファン感謝祭でMVPを1回取ろう,【ファン感謝祭編】ファン感謝祭でMVPを1回取ろう
【ファン感謝祭編】難易度1のアイデアノートを1回コンプリートしよう,【ファン感謝祭編】難易度1のアイデアノートを1回コンプリートしよう
【ファン感謝祭編】難易度1のアイデアノートを3回コンプリートしよう,【ファン感謝祭編】難易度1のアイデアノートを3回コンプリートしよう
【ファン感謝祭編】難易度1のアイデアノートを5回コンプリートしよう,【ファン感謝祭編】難易度1のアイデアノートを5回コンプリートしよう
【ファン感謝祭編】難易度1のアイデアノートを8回コンプリートしよう,【ファン感謝祭編】難易度1のアイデアノートを8回コンプリートしよう
【ファン感謝祭編】難易度1のアイデアノートを12回コンプリートしよう,【ファン感謝祭編】難易度1のアイデアノートを12回コンプリートしよう
【ファン感謝祭編】難易度2のアイデアノートを1回コンプリートしよう,【ファン感謝祭編】難易度2のアイデアノートを1回コンプリートしよう
【ファン感謝祭編】難易度2のアイデアノートを3回コンプリートしよう,【ファン感謝祭編】難易度2のアイデアノートを3回コンプリートしよう
【ファン感謝祭編】難易度2のアイデアノートを5回コンプリートしよう,【ファン感謝祭編】難易度2のアイデアノートを5回コンプリートしよう
【ファン感謝祭編】難易度2のアイデアノートを8回コンプリートしよう,【ファン感謝祭編】難易度2のアイデアノートを8回コンプリートしよう
【ファン感謝祭編】難易度2のアイデアノートを12回コンプリートしよう,【ファン感謝祭編】難易度2のアイデアノートを12回コンプリートしよう
【ファン感謝祭編】難易度3のアイデアノートを1回コンプリートしよう,【ファン感謝祭編】難易度3のアイデアノートを1回コンプリートしよう
【ファン感謝祭編】難易度3のアイデアノートを3回コンプリートしよう,【ファン感謝祭編】難易度3のアイデアノートを3回コンプリートしよう
【ファン感謝祭編】難易度3のアイデアノートを5回コンプリートしよう,【ファン感謝祭編】難易度3のアイデアノートを5回コンプリートしよう
【ファン感謝祭編】難易度3のアイデアノートを8回コンプリートしよう,【ファン感謝祭編】難易度3のアイデアノートを8回コンプリートしよう
【ファン感謝祭編】難易度3のアイデアノートを12回コンプリートしよう,【ファン感謝祭編】難易度3のアイデアノートを12回コンプリートしよう
放課後クライマックスガールズの誰か一人をプロデュースしてランクD以上のフェスアイドルを誕生させよう,放課後クライマックスガールズの誰か一人をプロデュースしてランクD以上のフェスアイドルを誕生させよう
放課後クライマックスガールズの誰か一人をプロデュースしてランクC以上のフェスアイドルを誕生させよう,放課後クライマックスガールズの誰か一人をプロデュースしてランクC以上のフェスアイドルを誕生させよう
放課後クライマックスガールズの誰か一人をプロデュースしてランクB以上のフェスアイドルを誕生させよう,放課後クライマックスガールズの誰か一人をプロデュースしてランクB以上のフェスアイドルを誕生させよう
ファン感謝祭をクリアしよう,ファン感謝祭をクリアしよう
ファン感謝祭でMVPを1回取ろう,ファン感謝祭でMVPを1回取ろう
難易度1のアイデアノートを5回コンプリートしよう,難易度1のアイデアノートを5回コンプリートしよう
難易度2のアイデアノートを1回コンプリートしよう,難易度2のアイデアノートを1回コンプリートしよう
難易度2のアイデアノートを3回コンプリートしよう,難易度2のアイデアノートを3回コンプリートしよう
難易度2のアイデアノートを5回コンプリートしよう,難易度2のアイデアノートを5回コンプリートしよう
園田智代子をプロデュースしてシーズン2をクリアしよう,園田智代子をプロデュースしてシーズン2をクリアしよう
園田智代子をプロデュースしてシーズン3をクリアしよう,園田智代子をプロデュースしてシーズン3をクリアしよう
園田智代子をプロデュースしてシーズン4をクリアしよう,園田智代子をプロデュースしてシーズン4をクリアしよう
園田智代子をプロデュースしてW.I.N.G.決勝に進出しよう,園田智代子をプロデュースしてW.I.N.G.決勝に進出しよう
有栖川夏葉をプロデュースしてシーズン2をクリアしよう,有栖川夏葉をプロデュースしてシーズン2をクリアしよう
有栖川夏葉をプロデュースしてシーズン3をクリアしよう,有栖川夏葉をプロデュースしてシーズン3をクリアしよう
有栖川夏葉をプロデュースしてシーズン4をクリアしよう,有栖川夏葉をプロデュースしてシーズン4をクリアしよう
有栖川夏葉をプロデュースしてW.I.N.G.決勝に進出しよう,有栖川夏葉をプロデュースしてW.I.N.G.決勝に進出しよう
小宮果穂をプロデュースしてシーズン2をクリアしよう,小宮果穂をプロデュースしてシーズン2をクリアしよう
小宮果穂プロデュースしてシーズン3をクリアしよう,小宮果穂プロデュースしてシーズン3をクリアしよう
小宮果穂をプロデュースしてシーズン4をクリアしよう,小宮果穂をプロデュースしてシーズン4をクリアしよう
小宮果穂をプロデュースしてW.I.N.G.決勝に進出しよう,小宮果穂をプロデュースしてW.I.N.G.決勝に進出しよう
【Ring a bell】有栖川夏葉をプロデュースしてシーズン2をクリアしよう,【Ring a bell】有栖川夏葉をプロデュースしてシーズン2をクリアしよう
【Ring a bell】有栖川夏葉をプロデュースしてシーズン3をクリアしよう,【Ring a bell】有栖川夏葉をプロデュースしてシーズン3をクリアしよう
【Ring a bell】有栖川夏葉をプロデュースしてシーズン4をクリアしよう,【Ring a bell】有栖川夏葉をプロデュースしてシーズン4をクリアしよう
【雨のち、マイヒーロー】小宮果穂を編成してシーズン2をクリアしよう,【雨のち、マイヒーロー】小宮果穂を編成してシーズン2をクリアしよう
【雨のち、マイヒーロー】小宮果穂を編成してシーズン3をクリアしよう,【雨のち、マイヒーロー】小宮果穂を編成してシーズン3をクリアしよう
【雨のち、マイヒーロー】小宮果穂を編成してシーズン4をクリアしよう,【雨のち、マイヒーロー】小宮果穂を編成してシーズン4をクリアしよう
【紅蘭偉魔空珠に挑め！】園田智代子を編成してシーズン2をクリアしよう,【紅蘭偉魔空珠に挑め！】園田智代子を編成してシーズン2をクリアしよう
【紅蘭偉魔空珠に挑め！】園田智代子を編成してシーズン3をクリアしよう,【紅蘭偉魔空珠に挑め！】園田智代子を編成してシーズン3をクリアしよう
